title~views~since_upload~link
Katy Perry - I Think I'm Ready (Remixed / Remastered 2023 / Visualizer)~527,020~3 months ago 2 minutes, 37 seconds~https://www.youtube.com/watch?v=3DWSo7XWATPs4
Katy Perry - A Cup Of Coffee (Remixed / Remastered 2023 / Visualizer)~190,423~3 months ago 4 minutes, 17 seconds~https://www.youtube.com/watch?v=3DHLNENWkNDhA
Katy Perry: By The Grace of God x Haven Madison: Still Need You (American Idol Finale Duet)~146,368~4 months ago 2 minutes, 24 seconds~https://www.youtube.com/watch?v=3DCWOqqjO3VnQ
Katy Perry, Ti=C3=ABsto - Resilient (ft. Aitana) (Ti=C3=ABsto Remix) (Official Visualizer)~2,919,769~2 years ago 3 minutes, 20 seconds~https://www.youtube.com/watch?v=3DsiJaiEqcCNo
Katy Perry - Teary Eyes (Behind The Smile)~2,850,870~3 years ago 3 minutes, 2 seconds~https://www.youtube.com/watch?v=3D54nu59EZwF8
Katy Perry - What Makes A Woman (The Smile Video Series)~2,759,459~3 years ago 2 minutes, 26 seconds~https://www.youtube.com/watch?v=3DbsGp4A7u_LM
Katy Perry - Resilient (The Smile Video Series)~4,481,937~3 years ago 3 minutes, 36 seconds~https://www.youtube.com/watch?v=3DLNHM5CcvMm0
Katy Perry - Champagne Problems (The Smile Video Series)~9,035,610~3 years ago 3 minutes, 15 seconds~https://www.youtube.com/watch?v=3DkSK-wfF8QeM
Katy Perry - Tucked (The Smile Video Series)~61,537,403~3 years ago 3 minutes, 25 seconds~https://www.youtube.com/watch?v=3D8qFBUUN9N34
Katy Perry - Cry About It Later (The Smile Video Series)~57,348,768~3 years ago 3 minutes, 16 seconds~https://www.youtube.com/watch?v=3DSjmXERieW9s
Katy Perry - Harleys In Hawaii (The Smile Video Series)~12,590,630~3 years ago 3 minutes, 11 seconds~https://www.youtube.com/watch?v=3DaYjHOf6-SmM
Katy Perry - Never Really Over (The Smile Video Series)~4,463,966~3 years ago 3 minutes, 54 seconds~https://www.youtube.com/watch?v=3DbHfiu46LFmo
Katy Perry - What Makes A Woman (Acoustic Video)~1,502,098~3 years ago 2 minutes, 36 seconds~https://www.youtube.com/watch?v=3Dq_JTAO-8xgc
Katy Perry - Smile~60,050,628~3 years ago 2 minutes, 56 seconds~https://www.youtube.com/watch?v=3DvZA5heWazIQ
Katy Perry - Smile (Performance Video)~15,308,785~3 years ago 2 minutes, 46 seconds~https://www.youtube.com/watch?v=3DZQPSRQtABdU
Katy Perry - Daisies (Can't Cancel Pride)~8,337,873~3 years ago 3 minutes, 44 seconds~https://www.youtube.com/watch?v=3DBwkdoQheLOo
Katy Perry - Daisies (Lyric Video)~2,704,760~3 years ago 2 minutes, 55 seconds~https://www.youtube.com/watch?v=3D9V11-1uPZaM
Katy Perry - Never Really Over (Live on Good Morning America / 2020)~1,211,488~3 years ago 2 minutes, 52 seconds~https://www.youtube.com/watch?v=3DyNkeQ7DdCs4
Katy Perry - Daisies (Live On Good Morning America)~1,527,496~3 years ago 2 minutes, 51 seconds~https://www.youtube.com/watch?v=3Dbq8X2-P2jHQ
Katy Perry - Daisies (Live From American Idol Finale, May 17 2020)~3,023,882~3 years ago 2 minutes, 58 seconds~https://www.youtube.com/watch?v=3D9UcHvzG1I1I
Katy Perry - Daisies~29,908,829~3 years ago 2 minutes, 57 seconds~https://www.youtube.com/watch?v=3DNutHKRKBgR0
Katy Perry - Never Worn White (Official Music Video)~37,994,431~3 years ago 3 minutes, 51 seconds~https://www.youtube.com/watch?v=3DUyKgYMQ-AlQ
Katy Perry - Making Of &quot;Cozy Little Christmas&quot; Music Video~809,501~3 years ago 3 minutes, 22 seconds~https://www.youtube.com/watch?v=3DHlIsQSwbnBo
Katy Perry - Cozy Little Christmas~21,078,294~3 years ago 3 minutes, 6 seconds~https://www.youtube.com/watch?v=3Dsg8Gk1iXEIs
Katy Perry - Surprises A Biker In A Dramatic Reading Of Harleys In Hawaii~373,868~3 years ago 3 minutes, 57 seconds~https://www.youtube.com/watch?v=3DCfaXd7Bv1co
Katy Perry - Harleys In Hawaii (Vertical Video)~4,704,501~3 years ago 3 minutes, 5 seconds~https://www.youtube.com/watch?v=3DAYs_ZmVvyyQ
Katy Perry - Making Of &quot;Harleys In Hawaii&quot; Music Video~355,600~3 years ago 3 minutes, 11 seconds~https://www.youtube.com/watch?v=3Dy3ycAdD5rh0
Katy Perry - ASMR: Harleys In Hawaii~1,053,796~3 years ago 6 minutes, 23 seconds~https://www.youtube.com/watch?v=3D9sluyEEuRgs
Katy Perry - Harleys In Hawaii (Official)~135,242,557~4 years ago 3 minutes, 15 seconds~https://www.youtube.com/watch?v=3DsQEgklEwhSo
Katy Perry - Small Talk (Vertical Video)~920,771~4 years ago 2 minutes, 50 seconds~https://www.youtube.com/watch?v=3DjmhZuOb-nZA
Katy Perry - Small Talk (Live On The Ellen Show)~1,001,910~4 years ago 3 minutes, 21 seconds~https://www.youtube.com/watch?v=3DknQYmdoHX2Q
Katy Perry - Making of &quot;Small Talk&quot; / Episode #4~275,906~4 years ago 1 minute, 18 seconds~https://www.youtube.com/watch?v=3DUYfCPvoQgZo
Katy Perry - Making of &quot;Small Talk&quot; / Episode #3~211,586~4 years ago 2 minutes~https://www.youtube.com/watch?v=3DRDtu_PxvM2M
Katy Perry - Small Talk (Official Video)~35,078,718~4 years ago 2 minutes, 49 seconds~https://www.youtube.com/watch?v=3DYqunQaPQumk
Katy Perry - Making of &quot;Small Talk&quot; / Episode #2~263,361~4 years ago 2 minutes, 41 seconds~https://www.youtube.com/watch?v=3DUca_NJfwFIE
Katy Perry - Making of &quot;Small Talk&quot; / Episode #1~203,799~4 years ago 1 minute, 51 seconds~https://www.youtube.com/watch?v=3DB7xhnO7UcGE
Katy Perry - Small Talk (Lyric Video)~14,996,143~4 years ago 2 minutes, 50 seconds~https://www.youtube.com/watch?v=3Du07cFymU0e0
Katy Perry - Never Really Over (Lyric Video)~1,457,955~4 years ago 3 minutes, 50 seconds~https://www.youtube.com/watch?v=3D45NXAqw4MHI
Katy Perry - Never Really Over (Vertical Video)~1,773,730~4 years ago 3 minutes, 49 seconds~https://www.youtube.com/watch?v=3Dn7fq4eHuw8U
Katy Perry - Making Of =E2=80=9CNever Really Over=E2=80=9D Music Video~1,670,839~4 years ago 3 minutes, 16 seconds~https://www.youtube.com/watch?v=3DIwB7b9h24tA
Katy Perry =E2=80=9CNever Really Over=E2=80=9D YouTube Space Premiere Event~1,040,399~4 years ago 3 minutes, 55 seconds~https://www.youtube.com/watch?v=3DCm_TcqDXQrU
Katy Perry - Never Really Over (Official Video)~154,162,914~4 years ago 4 minutes, 1 second~https://www.youtube.com/watch?v=3DaEb5gNsmGJ8
Katy Perry =E2=80=93 Never Really Over (Trailer)~931,621~4 years ago 46 seconds~https://www.youtube.com/watch?v=3DUJ0x-MW1EdM
Zedd, Katy Perry - 365 (Official)~150,062,294~4 years ago 4 minutes, 24 seconds~https://www.youtube.com/watch?v=3DYrbgUtCfnC0
Katy Perry - Cozy Little Christmas (Audio Clip)~1,159,799~4 years ago 46 seconds~https://www.youtube.com/watch?v=3DvLhdDhpDY5U
Katy Perry - Power: In The Studio~388,407~5 years ago 7 minutes, 35 seconds~https://www.youtube.com/watch?v=3DYnw9fRM_y5k
Katy Perry x Oprah Winfrey - WITNESS: Coming Home~273,924~5 years ago 7 minutes, 40 seconds~https://www.youtube.com/watch?v=3DAq4qjMuaKRM
Katy Perry - Making Of =E2=80=9CHey Hey Hey=E2=80=9D Music Video~6,014,045~5 years ago 4 minutes, 52 seconds~https://www.youtube.com/watch?v=3DD0aAYfRBVik
Katy Perry - Hey Hey Hey (Official)~150,576,898~5 years ago 3 minutes, 46 seconds~https://www.youtube.com/watch?v=3DWS7f5xpGYn8
Katy Perry - Swish Swish (Behind the Scenes with Just Dance)~1,210,097~5 years ago 2 minutes, 33 seconds~https://www.youtube.com/watch?v=3DM2-IpsWQUWs
Katy Perry - Making Of =E2=80=9CSwish Swish=E2=80=9D Music Video ft. Nicki Minaj~9,624,623~6 years ago 5 minutes, 19 seconds~https://www.youtube.com/watch?v=3DxGd8KIXqPJY
Katy Perry: Will You Be My Witness? by Katy Perry 6 years ago 1 hour, 26 minutes title=3D"Katy Perry: Will You Be My Witness?" href=3D"https://www.youtube.com/watch?v=3DknhzSEv5Xpk&amp;pp=3DsAQB"
Katy Perry: Will You Be My Witness? - Official Trailer~3,376,969~6 years ago 2 minutes, 36 seconds~https://www.youtube.com/watch?v=3DKz-3PgnD1vM&amp;pp=3DsAQB
Katy Perry - Swish Swish (Official) ft. Nicki Minaj~679,449,979~6 years ago 6 minutes, 25 seconds~https://www.youtube.com/watch?v=3DiGk5fR-t5AU
Katy Perry - Swish Swish (Music Video Trailer) ft. Nicki Minaj~1,396,060~6 years ago 54 seconds~https://www.youtube.com/watch?v=3Dp0GiG0ORl7I
Katy Perry - Swish Swish (Music Video Trailer)~941,811~6 years ago 54 seconds~https://www.youtube.com/watch?v=3DlbDRwIinILo
Katy Perry - Swish Swish (Live on The Voice Australia)~9,567,341~6 years ago 3 minutes, 28 seconds~https://www.youtube.com/watch?v=3DzCyMeodzoNU
Katy Perry Invites You Backstage! // Omaze~115,638~6 years ago 43 seconds~https://www.youtube.com/watch?v=3DXggQL4eb9E0
Katy Perry - Swish Swish (Lyric Video Starring Gretchen) ft. Nicki Minaj~90,142,586~6 years ago 3 minutes, 47 seconds~https://www.youtube.com/watch?v=3DX0ZVaFO7cGE
Katy Perry - Swish Swish (Live from Witness World Wide)~11,925,085~6 years ago 3 minutes, 22 seconds~https://www.youtube.com/watch?v=3DlHPOSo3FTtk
Katy Perry - #OneLoveManchester Behind-The-Scenes~2,501,195~6 years ago 4 minutes, 7 seconds~https://www.youtube.com/watch?v=3D41nLPj8kMrU
Katy Perry - Swish Swish (Live from Witness World Wide Finale Concert)~587,532~6 years ago 3 minutes, 22 seconds~https://www.youtube.com/watch?v=3DnO_pLVoJ99o
Katy Perry - Reacts To Her Music Videos (Witness World Wide)~8,181,905~6 years ago 8 minutes, 8 seconds~https://www.youtube.com/watch?v=3DqfmZXnG0tuM
Katy Perry - Boys &amp; Girls Club Chat with Mario Lopez (Witness World Wide)~88,244~6 years ago 13 minutes, 1 second~https://www.youtube.com/watch?v=3DQsSRy3ULrBE
Katy Perry - Nugget Finds Her &quot;Power&quot; (Witness World Wide)~266,830~6 years ago 58 seconds~https://www.youtube.com/watch?v=3Dx7KKRAUTCW0
Katy Perry - Witness World Wide Live Stream Reveal~107,974~6 years ago 49 seconds~https://www.youtube.com/watch?v=3DR14QBZluBKc
Katy Perry - Witness (Audio)~14,739,004~6 years ago 4 minutes, 11 seconds~https://www.youtube.com/watch?v=3DzpcgL7DaTI0
Katy Perry - Hey Hey Hey (Audio)~5,904,662~6 years ago 3 minutes, 36 seconds~https://www.youtube.com/watch?v=3DfIEwXhVcLt4
Katy Perry - Save As Draft (Audio)~2,766,687~6 years ago 3 minutes, 49 seconds~https://www.youtube.com/watch?v=3Dc32RmK6jn3w
Katy Perry - Mind Maze (Audio)~1,908,348~6 years ago 4 minutes, 9 seconds~https://www.youtube.com/watch?v=3DpTpWuUB5-Ps
Katy Perry - Power (Audio)~3,206,955~6 years ago 3 minutes, 47 seconds~https://www.youtube.com/watch?v=3DPYlP7WNbAuI
Katy Perry - Pendulum (Audio)~2,513,459~6 years ago 4 minutes, 1 second~https://www.youtube.com/watch?v=3DdOBDODcmfs0
Katy Perry - Tsunami (Audio)~2,693,600~6 years ago 3 minutes, 24 seconds~https://www.youtube.com/watch?v=3DfXlqgEVuPYQ
Katy Perry - Roulette (Audio)~7,433,232~6 years ago 3 minutes, 19 seconds~https://www.youtube.com/watch?v=3DRsaK6p8HDnU
Katy Perry - D=C3=A9j=C3=A0 Vu (Audio)~6,806,932~6 years ago 3 minutes, 18 seconds~https://www.youtube.com/watch?v=3D7fIucqqC-Ms
Katy Perry - Miss You More (Audio)~3,606,260~6 years ago 3 minutes, 55 seconds~https://www.youtube.com/watch?v=3D7FX6SrERS8s
Katy Perry - Into Me You See (Audio)~1,608,351~6 years ago 4 minutes, 25 seconds~https://www.youtube.com/watch?v=3D6Dc8Eu5Rq2Q
Katy Perry - Bigger Than Me (Audio)~2,502,243~6 years ago 4 minutes, 1 second~https://www.youtube.com/watch?v=3D4jROTlyJ-7s
Katy Perry - Making of =E2=80=9CBon App=C3=A9tit=E2=80=9D Music Video ft. Migos~29,858,729~6 years ago 5 minutes, 14 seconds~https://www.youtube.com/watch?v=3D2VOJEJFT9DA
Katy Perry - =F0=9F=91=81 WITNESS: The Tour =F0=9F=91=81 Europe Announcement~193,727~6 years ago 43 seconds~https://www.youtube.com/watch?v=3DDzK63eO-sPE
Katy Perry: Witness~1,064,534~6 years ago 32 seconds~https://www.youtube.com/watch?v=3DhsPre9uV1Jk
Katy Perry - Bon App=C3=A9tit (Live on SNL) ft. Migos~7,350,303~6 years ago 3 minutes, 53 seconds~https://www.youtube.com/watch?v=3DEUo4pe5eMbY
Katy Perry - Swish Swish (Live on SNL)~20,620,419~6 years ago 3 minutes, 23 seconds~https://www.youtube.com/watch?v=3Dcx1pQiETQm4
Katy Perry - Swish Swish (Audio) ft. Nicki Minaj~104,040,905~6 years ago 4 minutes, 3 seconds~https://www.youtube.com/watch?v=3DZ18eMqK9BMM
Katy Perry - Submit your #BestCoverEver of Firework. Win a chance to perform with me!~80,771~6 years ago 1 minute, 11 seconds~https://www.youtube.com/watch?v=3D1bS0Haw1WAI
Katy Perry - =F0=9F=91=81 WITNESS: The Tour Announcement=F0=9F=91=81~209,918~6 years ago 31 seconds~https://www.youtube.com/watch?v=3DDcQEcqb1ZX8
Katy Perry - Bon App=C3=A9tit (Official) ft. Migos~1,307,180,025~6 years ago 4 minutes, 18 seconds~https://www.youtube.com/watch?v=3DdPI-mRFEIH0
Katy Perry - Bon App=C3=A9tit (Audio) ft. Migos~26,909,145~6 years ago 3 minutes, 49 seconds~https://www.youtube.com/watch?v=3DMH9ilfAZHOs
Katy Perry - The Making of =E2=80=9CChained To The Rhythm=E2=80=9D Music Video (Part 1)~2,231,223~6 years ago 5 minutes, 50 seconds~https://www.youtube.com/watch?v=3D07GkmvprGlo
Katy Perry - The Making of =E2=80=9CChained To The Rhythm=E2=80=9D Music Video (Part 2)~2,849,514~6 years ago 4 minutes, 36 seconds~https://www.youtube.com/watch?v=3DxcUrhjJSBI8
Katy Perry - Chained To The Rhythm (Live at The BRIT Awards 2017) ft. Skip Marley~13,373,095~6 years ago 4 minutes, 12 seconds~https://www.youtube.com/watch?v=3D-8m0XFea2zE
Katy Perry - Chained To The Rhythm (Official) ft. Skip Marley~742,887,442~6 years ago 4 minutes, 1 second~https://www.youtube.com/watch?v=3DUm7pMggPnug
Oblivia - Grand Opening February 21, 2017~584,722~6 years ago 32 seconds~https://www.youtube.com/watch?v=3Di7gHuDT1-xU
Katy Perry - Chained To The Rhythm (Lyric Video) ft. Skip Marley~89,785,893~6 years ago 3 minutes, 56 seconds~https://www.youtube.com/watch?v=3D8gsGhdZDC-0
Katy Perry - Making Of The =E2=80=9CRise=E2=80=9D Music Video (Live From The Honda Stage)~1,365,370~7 years ago 4 minutes, 35 seconds~https://www.youtube.com/watch?v=3DywPJCIeAXgc
Katy Perry - Rise (Official)~212,512,104~7 years ago 3 minutes, 18 seconds~https://www.youtube.com/watch?v=3Dhdw1uKiTI5c
Katy Perry - Rise (NBC Olympics video)~35,984,339~7 years ago 3 minutes, 21 seconds~https://www.youtube.com/watch?v=3DlFIIMEe2Ht0
Katy Perry - Firework (From =E2=80=9CThe Prismatic World Tour Live=E2=80=9D)~12,896,806~7 years ago 4 minutes, 18 seconds~https://www.youtube.com/watch?v=3DiQPntUPNDlQ
Katy Perry - I Kissed A Girl (From =E2=80=9CThe Prismatic World Tour Live=E2=80=9D)~12,328,320~7 years ago 4 minutes, 48 seconds~https://www.youtube.com/watch?v=3DWR3dBmGEUi4
The Prismatic World Tour Live~244,386~8 years ago 16 seconds~https://www.youtube.com/watch?v=3D9nlgkGDR-Jg
Katy Perry - By The Grace of God (Audio)~8,473,069~8 years ago 4 minutes, 28 seconds~https://www.youtube.com/watch?v=3DHfIZ7WXvDxo
Katy Perry - Making of the =E2=80=9CThis Is How We Do=E2=80=9D Music Video~5,832,170~9 years ago 6 minutes, 4 seconds~https://www.youtube.com/watch?v=3DcCd4ywyCR44
Katy Perry - This Is How We Do (Official)~791,220,508~9 years ago 3 minutes, 30 seconds~https://www.youtube.com/watch?v=3D7RMQksXpQSk
Katy Perry - This Is How We Do (Lyric Video)~13,747,414~9 years ago 3 minutes, 26 seconds~https://www.youtube.com/watch?v=3DPGi2Zg2DK0Q
Katy Perry - Princess Mandee: The Unseen Footage From Katy Perry=E2=80=99s =E2=80=9CBirthday=E2=80=9D Music Video~6,884,894~9 years ago 4 minutes, 28 seconds~https://www.youtube.com/watch?v=3DOtx7FEINUds
Katy Perry - PRISMATIC World Tour~609,798~9 years ago 1 minute, 2 seconds~https://www.youtube.com/watch?v=3D4SlQqs7cU6g
Katy Perry - Goldie The Dancer: The Unseen Footage From Katy Perry=E2=80=99s =E2=80=9CBirthday=E2=80=9D~3,457,379~9 years ago 3 minutes, 47 seconds~https://www.youtube.com/watch?v=3DOMc_st-Z87Q
Katy Perry - Birthday (Official)~77,709,012~9 years ago 8 minutes, 1 second~https://www.youtube.com/watch?v=3DCEUg7OplvIQ
Katy Perry - Birthday (Lyric Video)~300,244,193~9 years ago 3 minutes, 36 seconds~https://www.youtube.com/watch?v=3DjqYxyd1iSNk
Katy Perry - Dark Horse ft. Juicy J~3,606,104,816~9 years ago 3 minutes, 45 seconds~https://www.youtube.com/watch?v=3D0KSOMA3QBU0
Katy Perry - Dark Horse (Music Video Trailer)~6,207,364~9 years ago 33 seconds~https://www.youtube.com/watch?v=3DvwqiKh1twTM
Katy Perry -- The PRISMATIC WORLD TOUR 2014~408,089~9 years ago 1 minute, 29 seconds~https://www.youtube.com/watch?v=3DRiNF6iOjRgs
Katy Perry - Making of the =E2=80=9CUnconditionally=E2=80=9D Music Video~1,823,972~9 years ago 6 minutes~https://www.youtube.com/watch?v=3DqBjMxC10AY4
Katy Perry - Unconditionally (Official)~682,680,026~9 years ago 3 minutes, 57 seconds~https://www.youtube.com/watch?v=3DXjwZAa2EjKA
Katy Perry - Making of the &quot;Roar&quot; Music Video~22,826,487~9 years ago 22 minutes~https://www.youtube.com/watch?v=3DZ0Q8j3HJagE
Katy Perry 'PRISM' Album Sampler~633,207~9 years ago 24 minutes~https://www.youtube.com/watch?v=3D3cvGjeFzSlw
Katy Perry - Unconditionally (Lyric Video)~25,755,835~9 years ago 3 minutes, 54 seconds~https://www.youtube.com/watch?v=3DhHimjVYsd6I
Katy Perry - Walking On Air (Audio)~14,968,331~10 years ago 3 minutes, 43 seconds~https://www.youtube.com/watch?v=3Dt4D5egXVqSg
Katy Perry - Roar~3,890,122,008~10 years ago 4 minutes, 30 seconds~https://www.youtube.com/watch?v=3DCevxZvSJLk8
Katy Perry - Roar: Queen of the Jungle (Music Video Trailer)~4,500,219~10 years ago 21 seconds~https://www.youtube.com/watch?v=3D3yD_-C7Hn2Y
Katy Perry - Roar (Lyric Video)~90,031,682~10 years ago 3 minutes, 57 seconds~https://www.youtube.com/watch?v=3De9SeJIgWRPk
Katy Perry - Roar: Satin Cape (Single Preview)~3,737,427~10 years ago 45 seconds~https://www.youtube.com/watch?v=3D5kPRsDUyUGE
Katy Perry - Roar: From A Meow To A Roar (Single Preview)~8,307,428~10 years ago 29 seconds~https://www.youtube.com/watch?v=3DaEjWrS7SfLQ
Katy Perry - Roar: The Third Coming (Single Preview)~4,767,536~10 years ago 24 seconds~https://www.youtube.com/watch?v=3DGXcnqxgx62I
Katy Perry - Roar: Burning Baby Blue (Single Preview)~8,190,321~10 years ago 29 seconds~https://www.youtube.com/watch?v=3Dm5Hel36qrFI
Katy Perry - The Making of Katy Perry's &quot;Wide Awake&quot;~10,332,835~11 years ago 20 minutes~https://www.youtube.com/watch?v=3DEGs6MgYOVxg
Katy Perry - #VevoCertified, Pt. 12: The One That Got Away (Katy Commentary)~260,146~11 years ago 5 minutes, 4 seconds~https://www.youtube.com/watch?v=3DoSkfQ4rHonI
Katy Perry - #VevoCertified, Pt. 13: Teenage Dream (Katy Commentary)~245,244~11 years ago 4 minutes, 11 seconds~https://www.youtube.com/watch?v=3DkywphzgzvOQ
Katy Perry - #VEVOCertified, Pt. 11: E.T. (Katy Commentary)~983,387~11 years ago 5 minutes, 17 seconds~https://www.youtube.com/watch?v=3DRVGIzjwhjMs
Katy Perry - #VevoCertified, Pt. 9: Firework (Katy Commentary)~310,251~11 years ago 4 minutes, 11 seconds~https://www.youtube.com/watch?v=3DuyFBmhADwbo
Katy Perry - #VEVOCertified, Pt. 10: Last Friday Night (T.G.I.F.) (Katy Commentary)~965,190~11 years ago 8 minutes, 15 seconds~https://www.youtube.com/watch?v=3DONzHhtpTH_Y
Katy Perry - #VevoCertified, Pt. 7: Katy on California Gurls~453,033~11 years ago 1 minute, 13 seconds~https://www.youtube.com/watch?v=3DHPbLcFXQ-Tw
Katy Perry - #VEVOCertified, Pt. 8: Last Friday Night (Fan Lip Sync Version)~502,104~11 years ago 4 minutes, 3 seconds~https://www.youtube.com/watch?v=3D8lJp9InR-z0
Katy Perry - #VevoCertified, Pt. 6: Fans On Their Favorite Katy Videos~213,970~11 years ago 1 minute, 14 seconds~https://www.youtube.com/watch?v=3D4Ga1v28MEtA
Katy Perry - #VEVOCertified, Pt. 5: Katy Superfans~716,312~11 years ago 1 minute, 36 seconds~https://www.youtube.com/watch?v=3D-UPP-jfjRoc
