title~views~uptime_y~uptime_m~uptime_d~link
As=C3=AD es el PRIMER OXXO del mundo | =C2=BFC=C3=B3mo fue tan exitoso? =F0=9F=9B=92~133,390~0~1~29~https://www.youtube.com/watch?v=3DWa7zKL2abFc
Tasting street food in INDONESIA | Is it AS DIRTY as they say? =F0=9F=8D=B2=F0=9F=87=AE=F0=9F=87=A9~6,091,816~0~2~59~https://www.youtube.com/watch?v=3DDXQmh09SESw
The &quot;strangest&quot; funeral I have ever been invited to | PARTY or TRAGEDY?~2,458,730~0~2~59~https://www.youtube.com/watch?v=3DO1kNtdTT2n8
I bought a &quot;SACRED BUFFALO&quot; for this ritual - why do they cost SO MUCH?~2,717,763~0~2~59~https://www.youtube.com/watch?v=3DQ2xrIebC1VU
They dig up their dead to change their clothes | MA'NENE ritual~5,207,135~0~2~59~https://www.youtube.com/watch?v=3D6Ku_QN_JWaw
I took the LONGEST FLIGHT IN THE WORLD | + 19 hours =E2=9C=88=EF=B8=8F~7,058,492~0~2~59~https://www.youtube.com/watch?v=3DAkiANKuu2t0
The disappointing POK=C3=89MON park in New York City | What went wrong? =F0=9F=98=94~1,943,117~0~2~59~https://www.youtube.com/watch?v=3DIlcDJZL2kOc
How much does it cost to put a huge ad on the streets of NEW YORK? =F0=9F=92=B5~4,993,956~0~2~59~https://www.youtube.com/watch?v=3DjziDHRW9bPE
People line up HOURS for this sandwich / KATZ NY / is it worth it?~7,894,440~0~2~59~https://www.youtube.com/watch?v=3DJkklDXa6r-E
Why should you NOT take a EUROTRAVEL? Very bad idea!~2,743,759~0~2~59~https://www.youtube.com/watch?v=3DdVDo6wyM-wY
I WON PLAYING AT THE CASINO | 1 day only in Amsterdam =F0=9F=8E=B0=F0=9F=87=B3=F0=9F=87=B1~2,255,902~0~3~91~https://www.youtube.com/watch?v=3DrU6bQcacc-8
VERY CHEAP hostel vs VERY EXPENSIVE hotel in Europe | Prague =F0=9F=87=A8=F0=9F=87=BF=F0=9F=92=B5~3,037,242~0~3~90~https://www.youtube.com/watch?v=3DO03B_hlFSG0
They say this is the &quot;most haunted&quot; cemetery in the world.... | Bohnice Asylum =F0=9F=AA=A6=F0=9F=92=80~3,829,814~0~3~90~https://www.youtube.com/watch?v=3DFcI6p2TNvV4
The BEST and WORST things about going to Tomorrowland | Is it worth paying THAT much? =F0=9F=92=B5=F0=9F=A5=B3~4,363,295~0~3~90~https://www.youtube.com/watch?v=3Dx-NWYSKaWO8
Crossing the THINNEST street in the world (60 cm) | I almost got stuck! =F0=9F=98=B1~2,284,454~0~3~90~https://www.youtube.com/watch?v=3DLkFOGqgKLpE
These ATMs will try to rob you: Europe's MOST COMMON scam =E2=9A=A0=EF=B8=8F=F0=9F=92=B5~2,833,599~0~3~90~https://www.youtube.com/watch?v=3Db1x54ke2lVM
Why traffic lights in Germany are SO DIFFERENT | Dresden =F0=9F=9A=A5=F0=9F=87=A9=F0=9F=87=AA~1,970,781~0~3~90~https://www.youtube.com/watch?v=3Do83DMN4rdyg
Amsterdam IS NOT like it used to be | New &quot;strict prohibitions&quot; =F0=9F=9A=AB=F0=9F=8D=BA~4,070,811~0~3~90~https://www.youtube.com/watch?v=3DtIUvsJ9PMuk
This is the strangest place I have ever slept | CRANE HOTEL=F0=9F=8F=97=EF=B8=8F~3,691,843~0~3~90~https://www.youtube.com/watch?v=3D2UqwQaLxBng
Visiting the &quot;largest&quot; U.S. Latino market : True or false? =F0=9F=87=BA=F0=9F=87=B8~4,014,169~0~3~90~https://www.youtube.com/watch?v=3D8eZYDSpyTnA
Remembering my daily route to work 10 YEARS LATER | I almost got lost! =F0=9F=9A=8C~3,151,281~0~4~121~https://www.youtube.com/watch?v=3DgOoLya0S0t4
Trying the MOST SPICY ramen in the world | Unbearable? =F0=9F=A5=B5=F0=9F=94=A5=F0=9F=8D=9C~4,551,352~0~4~121~https://www.youtube.com/watch?v=3D603QJryefFg
Tasting the weirdest &quot;DORILOCOS&quot; on the street | Delicious or disgusting? =F0=9F=A4=A2=F0=9F=98=8B~6,544,562~0~4~121~https://www.youtube.com/watch?v=3D7CN7IG_2C44
The slum that is stuck between millionaire mansions | TURKEY =F0=9F=87=B9=F0=9F=87=B7~4,543,660~0~4~121~https://www.youtube.com/watch?v=3DIIp2BLxoYAs
Beware of these SCAMS in Turkey | They are everywhere! =F0=9F=9A=AB=F0=9F=92=B0=F0=9F=87=B9=F0=9F=87=B7~4,053,558~0~4~121~https://www.youtube.com/watch?v=3DTEhGdg9Ootk
The most TERRIFIC fish to eat | Japan =F0=9F=87=AF=F0=9F=87=B5=F0=9F=90=9F~3,299,329~0~4~121~https://www.youtube.com/watch?v=3DqpbccgXdWrU
CHEAP vs VERY EXPENSIVE Hotel in Japan: Which one gives us more for what we pay?~3,212,224~0~4~121~https://www.youtube.com/watch?v=3DJQUiOCDIPdo
The disturbing reason why Google DOES NOT WORK in South Korea =F0=9F=93=B1=F0=9F=9A=AB.~3,003,870~0~4~121~https://www.youtube.com/watch?v=3DZAf4_3Nrwvk
Compr=C3=A9 el nuevo tel=C3=A9fono de HUAWEI: =C2=BFes tan incre=C3=ADble como dicen? | P60 Pro =F0=9F=93=B1=F0=9F=98=B3~2,362,673~0~4~121~https://www.youtube.com/watch?v=3DxLaiDEWi4-Y
I flew 15 hours to go to a KOREAN WEDDING: this is what their traditions are like! =F0=9F=91=B0=F0=9F=8F=BB=F0=9F=87=B0=F0=9F=87=B7~5,557,958~0~5~151~https://www.youtube.com/watch?v=3D73lDO5Gr4qE
Why do Chinese people NOT accept MONEY from foreigners? =F0=9F=98=94=F0=9F=92=B0~4,108,350~0~5~151~https://www.youtube.com/watch?v=3D068e3qoqEqg
I bought APPLE piracy from China | Is the quality just as good? =F0=9F=98=B1=F0=9F=A4=AF=F0=9F=93=B1~5,829,346~0~5~151~https://www.youtube.com/watch?v=3DrVEgtdAzOE0
I visited a rural fishing village in China | They fish using birds! =F0=9F=90=A6~3,310,834~0~5~151~https://www.youtube.com/watch?v=3DSr15A0AA0UY
I visited the failed copy of France in China : PARIS MADE IN CHINA =F0=9F=87=A8=F0=9F=87=B3~3,731,448~0~5~151~https://www.youtube.com/watch?v=3DBinIp2v-jgg
This is what toy stores in CHINA look like | Too much technology! =F0=9F=A4=96=F0=9F=87=A8=F0=9F=87=B3~3,515,600~0~5~151~https://www.youtube.com/watch?v=3DqyOW2ietK3A
Trying street food in CHINA 2.0 | Do they really eat DOG?~9,986,851~0~5~151~https://www.youtube.com/watch?v=3Df1yIX7EMhQE
I entered the dark world of China's STREET STREAMERS.~6,458,264~0~5~151~https://www.youtube.com/watch?v=3Dqxx-rjDIEuE
This is the BIGGEST airport IN THE WORLD | Impressive! =F0=9F=A4=AF=E2=9C=88=EF=B8=8F~3,086,935~0~5~151~https://www.youtube.com/watch?v=3DK4FTCOn83SI
I visited the most criticized city in the world: WUHAN, CHINA | What is the reality?~6,477,248~0~5~151~https://www.youtube.com/watch?v=3Dtlfxi2nyaKw
The secret of China's SUPER POWERFUL GRANDPARENTS =F0=9F=92=AA=F0=9F=8F=BD=F0=9F=87=A8=F0=9F=87=B3~2,041,596~0~5~151~https://www.youtube.com/watch?v=3DQzHOv1-8dNg
CHINA IS NOT LIKE IT WAS BEFORE | What changed in 3 years of isolation? =F0=9F=87=A8=F0=9F=87=B3~8,602,998~3~42~1277~https://www.youtube.com/watch?v=3DHtFyFVVpKtc
This is the PRESIDENTIAL suite at the XCARET Hotel - $70,000 per night!~5,186,079~0~6~182~https://www.youtube.com/watch?v=3D6E6VDE7-xcw
THE MODERN MAYAS: The society that disappeared?~2,288,560~0~6~182~https://www.youtube.com/watch?v=3Dch7iMC5UCu4
Which is the best ALFAJOR in Argentina? I bought all the ones in the store! =F0=9F=87=A6=F0=9F=87=B7~3,319,840~0~6~182~https://www.youtube.com/watch?v=3DggHTnGrnuzE
Life in a &quot;dangerous&quot; neighborhood in Argentina : FUERTE APACHE =F0=9F=87=A6=F0=9F=87=B7~6,990,495~0~6~182~https://www.youtube.com/watch?v=3DcqisQbPgimc
The confusing issue of money in Argentina | IS A DOLLAR WORTH GOLD? =F0=9F=92=B5=F0=9F=87=A6=F0=9F=87=B7~10,193,239~0~6~182~https://www.youtube.com/watch?v=3DkiC1rPh1C3U
Which is the best &quot;chorip=C3=A1n&quot; in Argentina? =F0=9F=87=A6=F0=9F=87=B7=F0=9F=8C=AD~6,724,912~0~6~182~https://www.youtube.com/watch?v=3DGp5dymc2hok
The village in the middle of nowhere | WILL IT DISAPPEAR?~2,219,966~0~6~182~https://www.youtube.com/watch?v=3DHo5rc4-Icts
Drinking PAJARETES: &quot;The drink of death&quot; | Why do they call it that way? =E2=9A=A0=EF=B8=8F=F0=9F=90=84~2,469,569~0~6~182~https://www.youtube.com/watch?v=3DgHGvUJPPcvE
I visited the Mexican Eiffel Tower | Is it AS BAD as they say? =F0=9F=97=BC=F0=9F=87=B2=F0=9F=87=BD~2,967,185~0~6~182~https://www.youtube.com/watch?v=3DFrJMQZmP2ao
Is it better to buy iPhone 14 or throw your money in the trash =F0=9F=93=B1=F0=9F=92=B5~2,509,261~0~7~212~https://www.youtube.com/watch?v=3Ds3e2D4AWxrs
HOW CAN THEY LIVE LIKE THIS!!! The city of &quot;cube houses&quot; in Europe =F0=9F=8F=A0=F0=9F=9F=A5~5,433,855~0~7~212~https://www.youtube.com/watch?v=3D-5Z9puLeNTA
NO RECORDING! I went to the 'red light district' in Amsterdam =F0=9F=9A=AB=F0=9F=93=B7~2,426,210~0~7~212~https://www.youtube.com/watch?v=3DSqptmxXNsX0
This village is between two countries: The border goes through houses! BAARLE~3,579,584~0~7~212~https://www.youtube.com/watch?v=3DdE-1A3PA_i0
The hard life in the world's most expensive 'slum' | Why is it so expensive? =F0=9F=87=AE=F0=9F=87=B3~7,636,211~0~7~212~https://www.youtube.com/watch?v=3D-2NWBVNFv3o
Traveling on a 5 CENT train in India | Mumbai =F0=9F=9A=82=F0=9F=87=AE=F0=9F=87=B3~2,806,083~0~7~212~https://www.youtube.com/watch?v=3DmW3jjWM_dZk
How does American fast food change in INDIA? | Everything is spicy! =F0=9F=8D=94=F0=9F=94=A5~8,940,825~0~7~212~https://www.youtube.com/watch?v=3DPR5gl_ylH2U
COLOR AND EVERYTHING OUT OF CONTROL! This is how you experience 'Holi': India's colorful festival~2,580,839~0~7~212~https://www.youtube.com/watch?v=3Dbs3d5t14QgY
I visited the sacred temple of the 'MONKEY GOD' in India =F0=9F=90=92=F0=9F=87=AE=F0=9F=87=B3~3,980,271~0~7~212~https://www.youtube.com/watch?v=3DrPBX8EQ-KRg
Trying street food in INDIA | Everything is spicy! =F0=9F=8C=B6=EF=B8=8F=F0=9F=87=AE=F0=9F=87=B3~14,481,221~0~7~212~https://www.youtube.com/watch?v=3Dw-pIBtP21vc
Walking through the PINK CITY of India: JAIPUR =F0=9F=87=AE=F0=9F=87=B3~2,618,423~0~7~212~https://www.youtube.com/watch?v=3DKTyYfbXb-c0
I got on INDIA's subway | Is it as bad and dirty as they say?~5,980,612~0~8~243~https://www.youtube.com/watch?v=3DDNeV2KxWiAA
I got my hair cut for $1 on the street | INDIA =E2=9C=82=EF=B8=8F=F0=9F=87=AE=F0=9F=87=B3~5,322,691~0~8~243~https://www.youtube.com/watch?v=3DhOQehj6776g
Why Delhi is the most chaotic city in the world | INDIA =F0=9F=87=AE=F0=9F=87=B3~4,772,770~0~8~243~https://www.youtube.com/watch?v=3DpeVirDX8SSs
Why is it SO DIFFICULT to understand a Chilean when he speaks? Vi=C3=B1a del Mar =F0=9F=87=A8=F0=9F=87=B1~6,703,184~0~8~243~https://www.youtube.com/watch?v=3D7r9M-iDTpDA
Which is the best &quot;complete&quot; hot dog in Chile? THEY ARE HUGE! =F0=9F=8C=AD=F0=9F=87=A8=F0=9F=87=B1~8,857,200~0~8~243~https://www.youtube.com/watch?v=3DP5RELCJChOI
The happiest party in Latin America: ORURO'S CARNIVAL: Bolivia~2,990,114~0~8~243~https://www.youtube.com/watch?v=3DmmzcECIJT7o
Walking along The Witches's Street: Bolivia =F0=9F=87=A7=F0=9F=87=B4=F0=9F=A7=99=F0=9F=8F=BC=E2=80=8D=E2=99=80=EF=B8=8F~2,780,601~0~8~243~https://www.youtube.com/watch?v=3DS_HsZYwiApw
I entered to a mine where they worship the devil: BOLIVIA: &quot;El T=C3=ADo&quot;.~3,708,833~0~8~243~https://www.youtube.com/watch?v=3DFffttW5aohs
The dinosaur that still lives with us - 400 MILLION years old!~5,076,086~0~8~243~https://www.youtube.com/watch?v=3DcIURaF-56hw
I stayed in an &quot;erotic&quot; adults only hotel: NO RECORDING! =F0=9F=9A=AB=F0=9F=A4=AB~4,332,341~0~8~243~https://www.youtube.com/watch?v=3D_K_BlmXSlrw
This is Mexico's new airport: AIFA | Is it AS BAD as they say? =F0=9F=87=B2=F0=9F=87=BD=E2=9C=88=EF=B8=8F~3,617,582~0~9~271~https://www.youtube.com/watch?v=3DkWqe1fLEtCM
I went to the &quot;MEXICAN CHERNOBYL&quot;: what are they hiding from us?~4,375,017~0~9~271~https://www.youtube.com/watch?v=3D72ytBx5m7yY
The fastest tacos in the world: READY IN 5 SECONDS! =F0=9F=8C=AE=F0=9F=A4=AF~6,728,758~0~9~271~https://www.youtube.com/watch?v=3DcK9dKSvzpZM
They say that in this forest elves exist... True or false?~3,711,805~0~9~271~https://www.youtube.com/watch?v=3DSQvQEeR_8BM
Which is the best authentic pizza in Italy? | ROME =F0=9F=87=AE=F0=9F=87=B9=F0=9F=8D=95~6,975,127~0~9~271~https://www.youtube.com/watch?v=3D25kzn6oJO1o
This is the SMALLEST country in the world : THE VATICAN~3,161,581~0~9~271~https://www.youtube.com/watch?v=3DMH6brr-djIg
Visiting a supermarket in SWITZERLAND: Everything is overpriced! =F0=9F=87=A8=F0=9F=87=AD=F0=9F=A4=91~5,813,106~0~9~271~https://www.youtube.com/watch?v=3DW2dGIAM_B2A
This is the MOST EXPENSIVE country in the world: how much does it cost to live? =F0=9F=92=B0~9,515,265~0~9~271~https://www.youtube.com/watch?v=3DS-ux7js0wFM
I went to the event of the &quot;most powerful&quot; people in the world: HEROES or VILLANS? | Davos 2023~3,696,497~0~9~271~https://www.youtube.com/watch?v=3DlBEwnL6rfaY
Exploring the inside of an ice cave | Glacier in ICELAND =F0=9F=A5=B6=F0=9F=87=AE=F0=9F=87=B8~4,129,544~0~10~302~https://www.youtube.com/watch?v=3DxvvJwdUBONw
They say that this hole is a &quot;gateway to hell&quot; | ICELAND =F0=9F=8C=8B=F0=9F=94=A5.~2,520,489~0~10~302~https://www.youtube.com/watch?v=3DYe5rFS33SnY
Northern lights: magic on our planet | What are they and how to see them?~2,668,252~0~10~302~https://www.youtube.com/watch?v=3DWmIf1zE3l2w
I saw Argentina win the world cup! | World's final, Qatar 2022 =F0=9F=8F=86=E2=9A=BD=EF=B8=8F=F0=9F=87=AB=F0=9F=87=B7=F0=9F=87=A6=F0=9F=87=B7~5,626,899~0~10~302~https://www.youtube.com/watch?v=3DYtkVwF7bSLY
Swimming at this beach could cook you alive: boiling water at 100=C2=B0 C! =F0=9F=94=A5 | ICELAND~6,475,093~0~11~333~https://www.youtube.com/watch?v=3DlmEjYiMCzGw
ICELAND: Land of ice and volcanoes | Reykjavik =F0=9F=87=AE=F0=9F=87=B8=F0=9F=8C=8B~3,150,058~0~11~333~https://www.youtube.com/watch?v=3DHyHaj6S9Sqc
I went into the METAVERSE to buy a Volkswagen Metaverse car =F0=9F=9A=99=F0=9F=A4=96.~1,345,560~0~11~333~https://www.youtube.com/watch?v=3DUFHnI1MClSo
The traditional nose-kissing greeting in Qatar =F0=9F=87=B6=F0=9F=87=A6~1,434,870~0~11~333~https://www.youtube.com/watch?v=3DcPk3qG37lhI
What is a soccer stadium in QATAR like? =E2=9A=BD=EF=B8=8F=F0=9F=87=B6=F0=9F=87=A6~3,097,922~0~11~333~https://www.youtube.com/watch?v=3DJZTzKNlgxFc
Trying Qatar's addictive &quot;legal high&quot;: DOKHA | What does it feel like?~7,974,573~0~11~333~https://www.youtube.com/watch?v=3DnOUVvtq7TWc
This is how people live in the poorest neighborhoods of QATAR | The other face of &quot;luxury&quot;.~6,115,245~0~11~333~https://www.youtube.com/watch?v=3D8DUrZHA0foE
Trying out QATAR's amazing VIP subway : Doha City Tour~3,767,674~0~11~333~https://www.youtube.com/watch?v=3DZPh3GNih0HY
Testing QATAR's extremist laws - Are they as strict as they say? =F0=9F=87=B6=F0=9F=87=A6~7,812,256~0~11~333~https://www.youtube.com/watch?v=3DLDa5iald-6o
Japan's &quot;most luxurious&quot; hotel: Park Hyatt, TOKYO =F0=9F=87=AF=F0=9F=87=B5~1,527,274~0~11~333~https://www.youtube.com/watch?v=3DoKalUk7YT2Q
The Day I Turned Down ONE MILLION Dollars~5,323,580~0~11~333~https://www.youtube.com/watch?v=3D2IHqdX2Cbmk
Looking for exotic animals in the Costa Rican forest =F0=9F=87=A8=F0=9F=87=B7=F0=9F=94=AD~2,220,773~0~11~333~https://www.youtube.com/watch?v=3Dzt-Q0wvdmfo
This incredible beach is shaped like a whale's tail | COSTA RICA =F0=9F=90=8B=F0=9F=8F=9D~1,908,659~0~11~333~https://www.youtube.com/watch?v=3DVSd4jdntm5Q
The tenebrous mangrove swamp of Damas's Island | Costa Rica~2,319,439~0~11~333~https://www.youtube.com/watch?v=3DlBMweVi1Ilc
Tasting STREET FOOD in Costa Rica | Simply delicious! =F0=9F=87=A8=F0=9F=87=B7~7,262,769~0~12~363~https://www.youtube.com/watch?v=3DKRerP2xLx_A
They gave me the presidential suite! | Costa Rica Tabac=C3=B3n Resort~2,662,701~0~12~363~https://www.youtube.com/watch?v=3D2LHk97wYAOU
Walking through an active volcano in Costa Rica | ARENAL VOLCANO =F0=9F=8C=8B=F0=9F=87=A8=F0=9F=87=B7~3,094,923~0~12~363~https://www.youtube.com/watch?v=3DeNLzTzHHgA4
Looking for giant crocodiles in Costa Rica | More than 800! =F0=9F=90=8A=F0=9F=87=A8=F0=9F=87=B7~5,852,238~0~12~363~https://www.youtube.com/watch?v=3DUv-NyJQ0uxs
I arrived to the &quot;happiest&quot; country in the world : Costa Rica =F0=9F=87=A8=F0=9F=87=B7~5,167,001~0~12~363~https://www.youtube.com/watch?v=3DjgkBk4soOMI
I can't afford to live in my house anymore! | Rents and foreigners in CDMX~7,892,981~0~12~363~https://www.youtube.com/watch?v=3DbBTo3-gHfYk
Cooking with Japan's most cheerful chef | Motokichi Omurice~2,077,404~0~12~363~https://www.youtube.com/watch?v=3DHWLG-iBRWO4
The airline that impresses the most demanding: Is it really THAT good? | Emirates 2022~9,441,464~0~12~363~https://www.youtube.com/watch?v=3D8NJN9JpfVNE
I WROTE A NEW BOOK: What is it about and why I did it =F0=9F=93=96.~613,714~0~12~363~https://www.youtube.com/watch?v=3DXp4WzYRSUJ8
ZOMBIE HALLOWEEN MEXICO 2022 | They wanted to eat me alive! =F0=9F=98=B1=F0=9F=A7=9F~2,675,086~0~12~363~https://www.youtube.com/watch?v=3DPkSNJgzQW68
I experienced the &quot;Clasico&quot;: REAL MADRID vs BARCELONA | The best match!~3,093,341~0~12~363~https://www.youtube.com/watch?v=3DywBpVrXP2_I
Which is the best Volkswagen SUV: Technology vs. design?~1,391,339~0~12~363~https://www.youtube.com/watch?v=3DQsbX6WVI8oQ
The country where YouTubers don't pay taxes | ANDORRA =F0=9F=87=A6=F0=9F=87=A9~9,528,969~0~12~363~https://www.youtube.com/watch?v=3DfH9AN8f2X10
This is what Canada's incredible RED FORESTS look like =F0=9F=87=A8=F0=9F=87=A6=F0=9F=8D=81~5,334,198~0~12~363~https://www.youtube.com/watch?v=3DpGQuXJyFYIs
This is the OLDEST town in the United States | San Agustin =F0=9F=87=BA=F0=9F=87=B8~2,809,789~0~12~363~https://www.youtube.com/watch?v=3D6WRRGs1PwAQ
I slept at the famous XCARET hotel - why is it SO EXPENSIVE? Is it worth it?~11,823,600~1~13~394~https://www.youtube.com/watch?v=3DAeIlL0sCFnY
This city is the paradise of the video games | AKIHABARA~5,396,603~1~13~394~https://www.youtube.com/watch?v=3D39z6HQsnRnc
I went to the world's biggest video game event | Tokyo Game Show 2022 =F0=9F=8E=AE=F0=9F=87=AF=F0=9F=87=B5~2,881,745~1~13~394~https://www.youtube.com/watch?v=3DwjFUSxwX2Kk
Japan's largest, chaotic supermarket: IT HAS 8 FLOORS! | Don Quijote~3,657,123~1~13~394~https://www.youtube.com/watch?v=3D3iHP1Wreb7g
Why are ALL toilets in Japan &quot;smart&quot;?~1,735,045~1~13~394~https://www.youtube.com/watch?v=3Ddxv7VGWiT0A
This is the oldest hotel in the world: 1,300 YEARS IN OPERATION | Japan~4,706,254~1~13~394~https://www.youtube.com/watch?v=3DCMZ8j5b45qI
Visiting a cemetery in Japan : Legends and customs =F0=9F=87=AF=F0=9F=87=B5~2,512,572~1~13~394~https://www.youtube.com/watch?v=3DoPmRBXi7zEc
I visited the NINTENDO world in JAPAN: it's amazing! | Super Nintendo World~13,612,245~1~13~394~https://www.youtube.com/watch?v=3DlQiwBWURQLU
What is it like to travel first class on a BALA TRAIN in Japan | Is it worth it?~4,299,270~1~13~394~https://www.youtube.com/watch?v=3DoGcUIthhn1I
LIVING IN 3 METERS: the harsh reality of many Japanese people | Cyber manga cafes~8,657,895~1~13~394~https://www.youtube.com/watch?v=3DGHltYhmN3zI
We've arrived to JAPAN! | Tokyo's coolest place =F0=9F=87=AF=F0=9F=87=B5~5,514,575~1~13~394~https://www.youtube.com/watch?v=3DCi5raxp37QE
The food here is VERY delicious | Madrid Vlog~4,737,157~1~13~394~https://www.youtube.com/watch?v=3DZ5G26y9ddF4
I slept in Cristiano Ronaldo's hotel &quot;El Bicho&quot; | Is it worth paying SO MUCH?~8,310,210~1~13~394~https://www.youtube.com/watch?v=3DFQ05f1DB800
Visiting Lavapies: a multi-cultural neighborhood in Spain | MADRID~2,098,000~1~13~394~https://www.youtube.com/watch?v=3DTnpe6aoJOA0
Grab EVERYTHING you can from OXXO and I PAY!~5,980,750~1~13~394~https://www.youtube.com/watch?v=3Dyw7cOInENPw
A day visiting ALL my restaurants: how many are there and which one is my favorite?~10,744,112~1~13~394~https://www.youtube.com/watch?v=3Dnuss5U_Nx30
I opened a restaurant in Spain: here I show you! | FASF=C3=9A BURGERS MADRID =F0=9F=8D=94=F0=9F=87=AA=F0=9F=87=B8~4,202,797~1~13~394~https://www.youtube.com/watch?v=3D_OT21ayKNNM
The new Eco-Bikes of the CDMX: Good or Fatal?~1,860,481~1~13~394~https://www.youtube.com/watch?v=3DwTucknVKRVo
Walking through a &quot;dangerous&quot; neighborhood in New York: HARLEM~8,585,865~1~13~394~https://www.youtube.com/watch?v=3DCsgiUjxGphA
Visiting New York's largest Chinese spot | CHINATOWN~4,635,370~1~13~394~https://www.youtube.com/watch?v=3DtGE23HUZVJs
Beware of these SCAMS in New York City =F0=9F=9A=AB=F0=9F=92=B0 | Times Square~10,636,338~1~13~394~https://www.youtube.com/watch?v=3DAHKpcbPPk5w
What is the best HOT DOG in New York City?  =F0=9F=8C=AD~9,568,214~1~13~394~https://www.youtube.com/watch?v=3DVOtZF3GKv0s
I visited the famous DINO-QUESADILLAS =F0=9F=A6=95=F0=9F=A6=96 | Is it worth traveling so far?~7,246,981~1~13~394~https://www.youtube.com/watch?v=3D5GAExG3kbas
I tried the &quot;worst&quot; airline in Mexico: VIVA AEROBUS | Is it as bad as they say?~7,337,416~1~13~394~https://www.youtube.com/watch?v=3DU13ArhNgLZk
How to prevent your phone from being stolen on the subway | undercover adventure~3,952,423~1~13~394~https://www.youtube.com/watch?v=3DlNM4I6-uejA
FAKE vs ORIGINAL perfumes: Is it better to pay more for brands?~12,556,131~1~13~394~https://www.youtube.com/watch?v=3DNTgxOtTVdFI
The 7 WONDERS OF THE WORLD by Luisito Comunica~5,475,221~1~13~394~https://www.youtube.com/watch?v=3DfePHLgOJ2iY
I went into an ADULT CINEMA: What are they like inside? Do they still exist?~4,828,131~1~13~394~https://www.youtube.com/watch?v=3DhGhZ9s70HKk
I felt ripped off paying for this &quot;first class&quot; | Fast Train South Korea =F0=9F=87=B0=F0=9F=87=B7=F0=9F=9A=86~4,155,482~1~13~394~https://www.youtube.com/watch?v=3DX05ulXdqHk0
Trying STREET FOOD in SOUTH KOREA =F0=9F=87=B0=F0=9F=87=B7=F0=9F=A5=A2~17,035,185~1~13~394~https://www.youtube.com/watch?v=3D_LGICP29iHg
What is it like to sleep in a traditional KOREAN home: Why do they sleep on the floor?~4,265,194~1~13~394~https://www.youtube.com/watch?v=3Dckt_kkAoEQM
They say this is the most beautiful city in South Korea: Busan =F0=9F=87=B0=F0=9F=87=B7~5,827,239~1~13~394~https://www.youtube.com/watch?v=3DBS4NOHSlm70
What do Koreans say instead of &quot;whiskey&quot; when taking a photo? =F0=9F=87=B0=F0=9F=87=B7~2,219,494~1~13~394~https://www.youtube.com/watch?v=3D594gdiCQ9zE
What is the best instant soup in South Korea | EVERYTHING IS SPICY! =F0=9F=A5=B5=F0=9F=8D=9C =F0=9F=87=B0=F0=9F=87=B7~6,796,520~1~13~394~https://www.youtube.com/watch?v=3Dcb1POE80LQo
Why do Koreans wear clothes on the beach? - BUSAN =F0=9F=8F=9D=F0=9F=87=B0=F0=9F=87=B7~13,254,480~1~13~394~https://www.youtube.com/watch?v=3DoDG152nwfdY
Visiting the weirdest cinemas in South Korea~7,759,818~1~13~394~https://www.youtube.com/watch?v=3DQSHpV-cX16I
I am banned from entering Korean nightclubs for being &quot;too old&quot; | 30 YEARS =3D NO =F0=9F=9A=AB.~7,953,272~1~13~394~https://www.youtube.com/watch?v=3DJ31A-d-r41g
