title~views~uptime_y~uptime_m~uptime_d~link
We're Going To The Pumpkin Patch + More | Kids Halloween Music | Super Simple Songs~297,443~0~2~55~https://www.youtube.com/watch?v=3DJg9ciJZK7cw
The Seasons Song | Kids Songs | Super Simple Songs~11,593,063~1~14~415~https://www.youtube.com/watch?v=3DC_Sc5ZjdfFI
Healthy Habits! Kids Songs to Help Build Daily Routines from Super Simple Songs~14,763,354~1~14~415~https://www.youtube.com/watch?v=3D_ify35SJcrI
Are You Hungry? | ft. the Super Simple Puppets | Kids Songs | Super Simple Songs~60,869,072~1~14~415~https://www.youtube.com/watch?v=3DxIfPQJidQHY
First We Wash Our Hands | Kids Songs | Super Simple Songs~33,611,129~1~14~415~https://www.youtube.com/watch?v=3DKgCjQBIZ-BM
If You're Happy And You Know It Spin Around | Kids Songs | Super Simple Songs~99,470,787~1~14~415~https://www.youtube.com/watch?v=3D04KMI21kFnc
Here You Are, Thank You + More Songs for Kids | Super Simple Songs~14,936,239~1~14~415~https://www.youtube.com/watch?v=3D9vg658ORVrc
Beddy-Bye Butterfly | Kids Songs | Super Simple Songs~61,850,452~1~14~415~https://www.youtube.com/watch?v=3Dij_eHTvhIlE
Everything Is Going To Be Alright + More Songs for Kids | Super Simple Songs~11,425,230~1~14~415~https://www.youtube.com/watch?v=3DrrWZhQSb6O8
Best of Super Simple Songs 2021 | Kids Songs | Super Simple Songs~19,774,524~1~14~415~https://www.youtube.com/watch?v=3DXorFEWPieMk
Milk &amp; Cookies + More Christmas Songs for Kids~11,816,398~1~14~415~https://www.youtube.com/watch?v=3D9iLcWuxZlQ4
Let's Decorate Our Christmas Tree | Super Simple Songs~7,697,946~1~14~415~https://www.youtube.com/watch?v=3D4NdCC6l1X30
Teddy Bear, Teddy Bear | Kids Songs | Super Simple Songs~15,201,941~1~14~415~https://www.youtube.com/watch?v=3DiDVJZlr3LM0
Milk &amp; Cookies | Kids Songs | Super Simple Songs~19,176,186~1~14~415~https://www.youtube.com/watch?v=3DCeRtDDXu2RM
Here You Are, Thank You | Kids Songs | Super Simple Songs~40,352,875~1~14~415~https://www.youtube.com/watch?v=3Dh3C47MHwZXI
Let's Decorate The House For Halloween + More Kids Songs~6,786,576~1~14~415~https://www.youtube.com/watch?v=3Dy0G6yTVCs3s
There's A Monster In My Tummy | Super Simple Songs~89,468,864~2~26~780~https://www.youtube.com/watch?v=3DJC29ZvTkBT0
Six Little Ghosts | + More Halloween Songs for Kids | Super Simple Songs~20,859,374~2~26~780~https://www.youtube.com/watch?v=3D5zXtxtrGKEw
If I Were A Ghost | Kids Hallowen Song | Super Simple Songs~64,163,593~2~26~780~https://www.youtube.com/watch?v=3DSZLXLjKHb1M
Hush Little Baby | + More Kids Songs | Super Simple Songs~141,859,993~2~26~780~https://www.youtube.com/watch?v=3DvcKxZLQETgE
The Roly Poly Roll | + More Kids Songs | Super Simple Songs~14,029,895~2~26~780~https://www.youtube.com/watch?v=3DzP6ZJkp5kYM
Five Little Chicks | + More Kids Songs | Super Simple Songs~20,733,466~2~26~780~https://www.youtube.com/watch?v=3D4iKQbtajlII
Hush Little Baby | Super Simple Songs Lullaby~55,245,278~2~26~780~https://www.youtube.com/watch?v=3Df_raDpgx_3M
Five Little Ghosts | + More Halloween Songs | Super Simple Songs~37,830,657~2~26~780~https://www.youtube.com/watch?v=3DrHtq5GIIUV8
The Roly Poly Roll | Kids Song | Super Simple Songs~48,344,721~2~26~780~https://www.youtube.com/watch?v=3DOsfoa6w605g
See You Later | + More Kids Songs | Super Simple Songs~8,051,977~2~26~780~https://www.youtube.com/watch?v=3Dt6s1xd1xcAQ
Me! | featuring Foxly | Super Simple Songs~28,992,797~2~26~780~https://www.youtube.com/watch?v=3DQ8X0oLVtc2Y
10 Apples On My Head + More | Kids Songs | Super Simple Songs~11,789,231~2~26~780~https://www.youtube.com/watch?v=3D2u27dNONKeE
When I Grow Up | Kids Songs | Super Simple Songs~30,448,505~2~26~780~https://www.youtube.com/watch?v=3D5rdlXji2jR0
See You Later | Goodbye Song from Super Simple Songs~26,523,475~2~26~780~https://www.youtube.com/watch?v=3Dwdi9F5_-f9k
The Rainbow Song | + More Kids Songs | Super Simple Songs~18,145,391~2~26~780~https://www.youtube.com/watch?v=3DoyJDQSnjTM4
Where Is Thumbkin? | + More Kids Songs | Super Simple Songs~15,064,113~2~26~780~https://www.youtube.com/watch?v=3DE_D-a2y1OuI
How's The Weather? | + More Kids Songs | Super Simple Songs~15,101,220~2~26~780~https://www.youtube.com/watch?v=3Dlca7DvrlrQo
Toodly Doodly Doo  | + More Kids Songs | Super Simple Songs~11,333,365~2~26~780~https://www.youtube.com/watch?v=3DgHdJy5aAgUA
The Rainbow Song =F0=9F=8C=88 | Kids Songs | Super Simple Songs~59,204,524~2~26~780~https://www.youtube.com/watch?v=3DwceMsYSyNUQ
Toodly Doodly Doo | Kids Songs | Super Simple Songs~118,873,034~2~26~780~https://www.youtube.com/watch?v=3DBcxMAA32nbM
Over The Deep Blue Sea | + More Kids Songs | Super Simple Songs~15,337,298~2~26~780~https://www.youtube.com/watch?v=3De-N0De24Hms
How's The Weather? | ft. the Super Simple Puppets | Super Simple Songs~59,326,841~2~26~780~https://www.youtube.com/watch?v=3DKBL5aXSJTlE
This Is A Happy Face | + More Kids Songs | Super Simple Songs~37,993,729~2~26~780~https://www.youtube.com/watch?v=3DCMcyPwtLD9g
Let's Go To The Sea! | Kids Songs About Sea Animals &amp; Water~9,448,478~2~26~780~https://www.youtube.com/watch?v=3D5aTjvHnqSFA
As Quiet As A Mouse | + More Kids Songs | Super Simple Songs~6,055,750~2~26~780~https://www.youtube.com/watch?v=3D55ikQLgi-9Q
This Is A Happy Face | ft. Noodle &amp; Pals | Super Simple Songs~122,758,253~2~26~780~https://www.youtube.com/watch?v=3DlQZX1IIAnLw
The Month's Chant | + More Kids Songs | Super Simple Songs~3,672,447~2~26~780~https://www.youtube.com/watch?v=3Djvl01sRamYk
As Quiet As A Mouse | Kids Songs | Super Simple Songs~71,718,025~2~26~780~https://www.youtube.com/watch?v=3DqJvkiMbjRko
Red Light, Green Light + More | ft. @CarlsCarWash  | Super Simple Songs~6,199,625~2~26~780~https://www.youtube.com/watch?v=3DZX8QGC8nYBs
The Months Chant | ft. The Super Simple Puppets | Super Simple Songs~71,218,821~2~26~780~https://www.youtube.com/watch?v=3DR_GIt4Ccorc
The Alphabet Swing | + More Kids Songs | Super Simple Songs~10,783,359~2~26~780~https://www.youtube.com/watch?v=3DYCpWaO6_-gA
The Wheels On The Bus + More | ft. @MrMonkeyMonkeyMechanic | Super Simple Songs~24,634,898~2~26~780~https://www.youtube.com/watch?v=3DkYKvQ5qi55Y
Put On Your Boots | Kids Songs | Super Simple Songs~73,892,210~2~26~780~https://www.youtube.com/watch?v=3DAsZwvuUmHGU
Three Little Kittens | + More Nursery Rhymes &amp; Kids Songs | Super Simple Songs~22,941,049~2~26~780~https://www.youtube.com/watch?v=3DA5gwWI8MnC4
The Alphabet Swing | ABC Song for Kids | Super Simple Songs~53,097,288~2~26~780~https://www.youtube.com/watch?v=3Dx7q5JVdPTng
Best Kids' Songs From Super Simple Songs | Best of 2020~27,660,885~2~26~780~https://www.youtube.com/watch?v=3DEXP1GvjiIdM
Let's Count To 100 + More | ft. @FinnyTheShark  | Super Simple Songs~7,680,670~2~26~780~https://www.youtube.com/watch?v=3DMbbxNHSnuPU
Five Little Elves | + More Christmas Songs for Kids | Super Simple Songs~29,520,013~2~26~780~https://www.youtube.com/watch?v=3D-uhOONQ3B84
Three Little Kittens | Kids Songs | Super Simple Songs~12,194,999~2~26~780~https://www.youtube.com/watch?v=3DbebLde5kcqo
Hello Reindeer, Goodbye Snowman | ft. Noodle &amp; Pals | Super Simple Songs~11,744,210~2~26~780~https://www.youtube.com/watch?v=3DqDL2HBPy9uQ
The Wheels On The Bus | @MrMonkeyMonkeyMechanic version~7,122,161~2~26~780~https://www.youtube.com/watch?v=3DP-IfzafdJwo
Five Little Elves | Christmas Song For Kids | Super Simple Songs~43,851,925~2~26~780~https://www.youtube.com/watch?v=3DWYYJ7yaL9WU
Me! (featuring Noodle &amp; Pals) | + More Kids Songs | Super Simple Songs~74,971,464~2~26~780~https://www.youtube.com/watch?v=3DEAx6VZteAwQ
Peekaboo, Thank You! | Kids Song | Super Simple Songs~114,413,287~2~26~780~https://www.youtube.com/watch?v=3Da728rGeMb54
Once I Caught A Fish Alive | + More Kids Songs | Super Simple Songs~15,006,839~2~26~780~https://www.youtube.com/watch?v=3DW8iWiPeQssw
Red Light, Green Light | @CarlsCarWash Version | Super Simple Songs~3,439,679~3~38~1145~https://www.youtube.com/watch?v=3DiyvDPW3IKP0
Hello, Trick Or Treat? | + More Halloween Songs for Kids | Super Simple Songs~10,641,477~3~38~1145~https://www.youtube.com/watch?v=3Dnec7AMefHYQ
Twinkle Twinkle Little Star (Bumble Nums Version) + More | Super Simple Songs~10,598,435~3~38~1145~https://www.youtube.com/watch?v=3DrO7C0l4pxLE
Me! | featuring Noodle &amp; Pals | Super Simple Songs~34,746,457~3~38~1145~https://www.youtube.com/watch?v=3DrsxhDJhZ8kk
The Wheels On The Bus  | ft. Carl's Car Wash | Super Simple Songs~45,862,283~3~38~1145~https://www.youtube.com/watch?v=3DJXBL3h5wK0I
Everything Is Going To Be Alright | Super Simple Songs~45,189,971~3~38~1145~https://www.youtube.com/watch?v=3DqQJroIl5jWU
Let's Go For A Walk Outside | Super Simple Songs~90,336,181~3~38~1145~https://www.youtube.com/watch?v=3DBWR3DxGHLD4
Move! | Dance Song for Kids | Super Simple Songs~66,138,968~3~38~1145~https://www.youtube.com/watch?v=3DVsgpUHUYuJI
Star Light, Star Bright | + More Kids Songs | Super Simple Songs~18,854,303~3~38~1145~https://www.youtube.com/watch?v=3Dw79AosCp0I8
Pink Purple Orange Brown | ft. @BumbleNums~60,942,710~3~38~1145~https://www.youtube.com/watch?v=3Df8PoDBzz4I8
Twinkle Twinkle Little Star (Bumble Nums Version) | Super Simple Songs~9,382,680~3~38~1145~https://www.youtube.com/watch?v=3DSNeI2PMcRdA
Finny The Shark | Episode 1 | Play Date | @FinnyTheShark~8,089,562~3~38~1145~https://www.youtube.com/watch?v=3DQMAMX_fhJ9k
Pizza Party  + More | Super Simple Songs~27,658,016~3~38~1145~https://www.youtube.com/watch?v=3D4icFRz0T0wM
The Ice Cream Song | + More Kids Songs | Super Simple Songs~16,633,382~3~38~1145~https://www.youtube.com/watch?v=3D921Sbp5d-_M
See You Later, Alligator - Featuring Super Simple Puppets | Super Simple Songs~5,232,652~3~38~1145~https://www.youtube.com/watch?v=3D2QkhX7R7K7U
Once I Caught A Fish Alive | Super Simple Songs~36,103,767~3~38~1145~https://www.youtube.com/watch?v=3DLNmEFt8cQ_U
My Yellow Car | Super Simple Songs~134,092,250~3~38~1145~https://www.youtube.com/watch?v=3DZZiTNJ6QleA
Butterfly Ladybug Bumblebee | + More Kids Songs | Super Simple Songs~23,057,530~3~38~1145~https://www.youtube.com/watch?v=3D0r6Bx7oTT_c
Star Light, Star Bright | Kids Songs | Super Simple Songs~52,567,158~3~38~1145~https://www.youtube.com/watch?v=3DOWip7yvXukI
And The Green Grass Grew All Around | + More Kids Songs | Super Simple Songs~39,368,191~3~38~1145~https://www.youtube.com/watch?v=3D_-y-lTHrWvg
Let's Count To 100 | ft. Finny the Shark | Super Simple Songs~24,651,461~3~38~1145~https://www.youtube.com/watch?v=3DtIxk5NeiTck
Down In The Deep Blue Sea + More! | Super Simple Songs~81,001,503~3~38~1145~https://www.youtube.com/watch?v=3D9xgoV6O3FC8
Pizza Party | Super Simple Songs~168,466,340~3~38~1145~https://www.youtube.com/watch?v=3DKP69YPqHquY
What=E2=80=99s Your Favorite Flavor Of Ice Cream? | + More Kids Songs | Super Simple Songs~23,175,258~3~38~1145~https://www.youtube.com/watch?v=3Dce5fC5wjmnE
Butterfly Ladybug Bumblebee | Super Simple Songs~114,326,133~3~38~1145~https://www.youtube.com/watch?v=3DEgiQ6GliTrI
And The Green Grass Grew | Kids Songs | Super Simple Songs~33,486,984~3~38~1145~https://www.youtube.com/watch?v=3DNktg1Wjs4l4
Walking In The Forest | + More Kids Songs | Super Simple Songs~11,311,427~3~38~1145~https://www.youtube.com/watch?v=3Dz5muVY5jwd0
Down In The Deep Blue Sea | ft. Finny The Shark! | Super Simple Songs~19,652,306~3~38~1145~https://www.youtube.com/watch?v=3D7pMEQsk3c5Y
Songs About Food | Kids Songs Collection | Super Simple Songs~10,865,770~3~38~1145~https://www.youtube.com/watch?v=3Dvxq5TRCIOWA
Super Simple Songs featuring the Super Simple Monsters!~152,098,390~3~38~1145~https://www.youtube.com/watch?v=3DaKac-OOn3Kk
What's Your Name? (Super Simple Puppets version) | Super Simple Songs~41,398,029~3~38~1145~https://www.youtube.com/watch?v=3Dyqlbn_nI2w8
Bedtime Routine Songs | Kids Songs | Super Simple Songs~6,456,166~3~38~1145~https://www.youtube.com/watch?v=3DOn7awTERpuI
Peekaboo I Love You  | + More Kids Songs | Super Simple Songs~37,186,632~3~38~1145~https://www.youtube.com/watch?v=3DBF06WTCghf0
Pop The Bubbles | + More Kids Songs | Super Simple Songs~20,701,341~3~38~1145~https://www.youtube.com/watch?v=3D9HUVt9KBVek
My Happy Song | + More Kids Songs | Super Simple Songs~89,459,685~3~38~1145~https://www.youtube.com/watch?v=3DRE29EUeJAb0
I Love The Mountains | + More Kids Songs | Super Simple Songs~48,230,675~3~38~1145~https://www.youtube.com/watch?v=3DGHj-C7TfgkE
The Ants Go Marching #2 | + More Kids Songs | Super Simple Songs~37,207,477~3~38~1145~https://www.youtube.com/watch?v=3Dwq2g1QvVh7E
What's This? What's That? | + More Kids Songs  | Super Simple Songs~89,877,479~3~38~1145~https://www.youtube.com/watch?v=3DzdTzGWSzyqE
Super Simple Fireplace =F0=9F=98=81 | Crackling Fireplace with Christmas Music | 3 Hours!~3,361,345~3~38~1145~https://www.youtube.com/watch?v=3DoC5bq9yJ2kA
Head Shoulders Knees And Toes | + More Kids Songs | Featuring Noodle &amp; Pals~73,716,175~3~38~1145~https://www.youtube.com/watch?v=3DSC6pnWEvVIg
Silent Night | Christmas Song For Kids | Super Simple Songs~17,792,593~3~38~1145~https://www.youtube.com/watch?v=3DsYwRV7WHzm8
The Wheels On The Bus - featuring Noodle &amp; Pals | + More Kids Songs from Super Simple Songs~63,225,335~3~38~1145~https://www.youtube.com/watch?v=3D3h50Bnmgsbc
Jingle Bells | Christmas Song | Super Simple Songs~11,325,476~3~38~1145~https://www.youtube.com/watch?v=3D4YBGRGBj7_w
Head Shoulders Knees And Toes | Kids Songs | Super Simple Songs~5,673,656~3~38~1145~https://www.youtube.com/watch?v=3DVAOOT5ZfQyU
At The North Pole | Down By The Bay Christmas | Christmas Song For Kids~14,212,844~3~38~1145~https://www.youtube.com/watch?v=3D4qfz6l42Pzk
Are You Sleeping, Baby Bear? | Kids Songs | Super Simple Songs~37,714,205~3~38~1145~https://www.youtube.com/watch?v=3DchxQb4YRC2U
If You=E2=80=99re Happy And You Know It | + More Kids Songs | Super Simple Songs~61,206,561~3~38~1145~https://www.youtube.com/watch?v=3Di14agob4uYU
Here Comes The Fire Truck | + More Kids Songs | Super Simple Songs~55,706,661~3~38~1145~https://www.youtube.com/watch?v=3Dzk5HGN8JXXk
My Happy Song | featuring Noodle &amp; Pals | Super Simple Songs~142,187,292~3~38~1145~https://www.youtube.com/watch?v=3DufbOHl1mmYk
The Bear Went Over The Mountain | + More Kids Songs | Super Simple Songs~22,983,781~3~38~1145~https://www.youtube.com/watch?v=3Di8tgIVkvQ48
Pop The Bubbles | Kids Songs | Super Simple Songs~52,902,859~3~38~1145~https://www.youtube.com/watch?v=3D5CI29h-AXDM
Halloween Songs For Kids | Super Simple Songs~19,001,963~3~38~1145~https://www.youtube.com/watch?v=3DVq151ZdLJCg
Hello Hello! | featuring The Super Simple Puppets~14,845,351~4~50~1511~https://www.youtube.com/watch?v=3DdNBC8jQFgHo
I Love The Mountains | Super Simple Songs | Kids Music~58,165,483~4~50~1511~https://www.youtube.com/watch?v=3DmmjbF3A30eQ
Line Up! | featuring Noodle &amp; Pals | Super Simple Songs~61,296,436~4~50~1511~https://www.youtube.com/watch?v=3DyFrMF0ScN3Q
Hello! | featuring The Super Simple Puppets | Super Simple Songs~31,404,391~4~50~1511~https://www.youtube.com/watch?v=3D32ysrBC6B6k
Introducing the Super Simple App for iOS!~3,274,387~4~50~1511~https://www.youtube.com/watch?v=3D7h5Fm4NSuag
Open Shut Them #4 | Super Simple Songs~71,356,259~4~50~1511~https://www.youtube.com/watch?v=3Dlsuqa9U3wik
Here Comes The Fire Truck | Kids Songs | Super Simple Songs~78,966,348~4~50~1511~https://www.youtube.com/watch?v=3DRI6UT82cB_E
The Bear Went Over The Mountain | Super Simple Songs~74,403,048~4~50~1511~https://www.youtube.com/watch?v=3DKCLjdL8g-8s
Walking In The Forest | Kids Songs | Super Simple Songs~41,274,047~4~50~1511~https://www.youtube.com/watch?v=3DxbSSm_p782c
What=E2=80=99s Your Favorite Flavor Of Ice Cream? | Kids Songs | Super Simple Songs~14,173,394~4~50~1511~https://www.youtube.com/watch?v=3DuWegqqriRw0
With My Heart  | + More Kids Songs | Super Simple Songs~30,313,852~4~50~1511~https://www.youtube.com/watch?v=3DdcWV933H8sU
Open Shut Them #3 | featuring Finny The Shark | Super Simple Songs~60,170,570~4~50~1511~https://www.youtube.com/watch?v=3DCx7e729w4YE
Sitting On The Potty | Kids Songs | Super Simple Songs~60,749,569~4~50~1511~https://www.youtube.com/watch?v=3D_RQFMyof650
Where Is Baby? | Kids Songs | Super Simple Songs~134,346,122~4~50~1511~https://www.youtube.com/watch?v=3DUxyN-HgosQ8
The More We Get Together | Kids Songs | Super Simple Songs~45,006,646~4~50~1511~https://www.youtube.com/watch?v=3DSpzLA-w1I8s
Peekaboo, I Love You | Kids Songs | Super Simple Songs~141,988,001~4~50~1511~https://www.youtube.com/watch?v=3D83a7wLOTsXk
The Jellyfish | Kids Songs | Super Simple Songs~18,495,516~4~50~1511~https://www.youtube.com/watch?v=3D494e4txpwSg
