title~views~uptime_y~uptime_m~uptime_d~link
Nastya y colecci=C3=B3n de nuevas historias de Halloween. Halloween 2023~136,006~0~2~52~https://www.youtube.com/watch?v=3DUPHQ2leuqfM
Nastya y su ejemplo de buen comportamiento para los ni=C3=B1os.~193,846~0~2~55~https://www.youtube.com/watch?v=3DI2sB3aq8fS4
Nastya en un pa=C3=ADs de ensue=C3=B1o. Nuevas historias de Nastya y pap=C3=A1 en espa=C3=B1ol~316,087~0~2~58~https://www.youtube.com/watch?v=3D5in4t346bl8
Nastya y Evelyn se ayudan mutuamente como mejores amigas. Historias sobre la amistad en espa=C3=B1ol~291,273~0~2~61~https://www.youtube.com/watch?v=3D0zCiaIQX-oo
Nastya comienza su propio negocio y otras historias divertidas para ni=C3=B1os en una nueva colecci=C3=B3n~283,956~0~2~64~https://www.youtube.com/watch?v=3DtedDNMoS1nw
Nastya 24 Hours Baby Challenge y otras historias divertidas~520,044~0~2~64~https://www.youtube.com/watch?v=3D4SzSiLMhcns
Nastya aprende sobre los 5 sentidos y otras historias escolares para ni=C3=B1os.~525,031~0~2~64~https://www.youtube.com/watch?v=3DVyuw3j67bno
Nastya juega juegos divertidos con los ni=C3=B1os. Desaf=C3=ADo para ni=C3=B1os de Nastya~560,384~0~2~71~https://www.youtube.com/watch?v=3Do06ExpXm4NM
Nastya y pap=C3=A1 se divierten juntos y Nastya aprende nuevas reglas de conducta.~716,836~0~3~80~https://www.youtube.com/watch?v=3DjE3PGbc0IPw
Nuevas aventuras familiares de verano de Nastya y pap=C3=A1. Las mejores historias de verano para ni=C3=B1os.~3,426,273~0~3~80~https://www.youtube.com/watch?v=3DJ37wknxKmsc
Nastya y el desaf=C3=ADo dentro de la aspiradora. Nueva historia divertida para ni=C3=B1as~1,648,134~0~4~111~https://www.youtube.com/watch?v=3DyzDpzq6kKms
Nastya y pap=C3=A1 hacen slimes y otros cuentos divertidos para ni=C3=B1os en espa=C3=B1ol~2,124,540~0~4~111~https://www.youtube.com/watch?v=3D0hFiIqELG2U
Nastya y reglas de seguridad en la piscina y otras historias para ni=C3=B1os.~3,172,336~0~4~111~https://www.youtube.com/watch?v=3DZ9E63KBD7ho
Nastya finge ser el due=C3=B1o de un hotel creativo.~683,736~0~4~111~https://www.youtube.com/watch?v=3DV1cO_fm2_00
Nastya y nuevas historias con animales y otros videos divertidos para ni=C3=B1os~1,422,539~0~4~111~https://www.youtube.com/watch?v=3DXMyJ_7HZYqs
Nastya e importantes reglas de conducta para ni=C3=B1os~882,886~0~4~111~https://www.youtube.com/watch?v=3DhJwGTRcxtJQ
Nastya y colecci=C3=B3n de v=C3=ADdeos de verano para ni=C3=B1os en espa=C3=B1ol~658,733~0~4~111~https://www.youtube.com/watch?v=3DHvE2U-E3TqU
Nastya e historias sobre la amistad. Nueva compilaci=C3=B3n de videos para ni=C3=B1os~995,035~0~4~111~https://www.youtube.com/watch?v=3DMSQqMs8Ufzo
Nastya y el desaf=C3=ADo del tel=C3=A9fono para ni=C3=B1as~485,164~0~4~111~https://www.youtube.com/watch?v=3DFCR2bi1y8MA
Nastya y los mejores cuentos nuevos para ni=C3=B1os. Recopilaci=C3=B3n de videos para ni=C3=B1os en espa=C3=B1ol~589,922~0~4~111~https://www.youtube.com/watch?v=3DatzKqJ7ndLE
Nastya y pap=C3=A1 de vacaciones, cuentos de verano para ni=C3=B1os.~3,378,550~0~5~142~https://www.youtube.com/watch?v=3DNKkdyZscheQ
Nastya y un viaje familiar de verano a Venecia. Nuevos cuentos para ni=C3=B1os en espa=C3=B1ol.~1,473,431~0~5~142~https://www.youtube.com/watch?v=3DQlQfNBGjzso
Nastya aprende n=C3=BAmeros con el desaf=C3=ADo de 10 puertas.~2,324,848~0~5~142~https://www.youtube.com/watch?v=3DbhlXJZkR_nA
Nastya y pap=C3=A1 aprenden a cocinar juntos y otras historias para ni=C3=B1os.~5,175,202~0~5~142~https://www.youtube.com/watch?v=3DgFDs1iFmlNY
Nastya y sus amigos juegan al escondite, Nastya y pap=C3=A1 en Espa=C3=B1ol~2,862,615~0~5~142~https://www.youtube.com/watch?v=3DPkRIcPULY2w
Nastya y nuevas historias sobre el buen comportamiento en la escuela en espa=C3=B1ol~1,309,041~0~5~142~https://www.youtube.com/watch?v=3DrD0yAJf6UjE
Desaf=C3=ADos divertidos y divertidos con un amigo para aprender c=C3=B3mo trabajar en equipo.~1,768,485~0~5~142~https://www.youtube.com/watch?v=3DRgcWE77jlQA
Nastya y pap=C3=A1 finge jugar una historia  para ni=C3=B1os~554,680~0~5~142~https://www.youtube.com/watch?v=3DuL0k0Am9Rdw
Nastya y cuentos escolares con amigas, nuevo recopilatorio para ni=C3=B1os en espa=C3=B1ol~4,890,311~0~5~142~https://www.youtube.com/watch?v=3DPqU4Jbckl1Y
Nastya y la historia en voz alta mejores amigos. Nuevos episodios de Nastya en espa=C3=B1ol~17,399,182~0~6~172~https://www.youtube.com/watch?v=3DBx65kWHfXJQ
Nastya y la historia sobre el aire limpio y el medio ambiente y otras historias =C3=BAtiles para ni=C3=B1os~4,976,622~0~6~172~https://www.youtube.com/watch?v=3Dd-1UWz-y8yA
Pap=C3=A1 dice &quot;s=C3=AD&quot; a todo y otras historias divertidas para ni=C3=B1os~966,441~0~6~172~https://www.youtube.com/watch?v=3D7AESydd9pmc
Historia sobre Nastya y pap=C3=A1 jugando juntos con un perro~3,014,661~0~6~172~https://www.youtube.com/watch?v=3D4QZya_qGLHU
Historias de las vacaciones de verano con la familia Nastya y pap=C3=A1.~3,896,575~0~6~172~https://www.youtube.com/watch?v=3DHWXLLgo9c4E
Historias de reglas de seguridad de Nastya y Forest para ni=C3=B1os~2,295,243~0~6~172~https://www.youtube.com/watch?v=3DJwc7qCq07zU
Nastya and Dad cuentos para dormir para ni=C3=B1os y otros videos nuevos~23,605,640~0~6~172~https://www.youtube.com/watch?v=3DTKjTj2QXmp4
Nastya y pap=C3=A1 en un viaje familiar a Dubai, exploran el parque de diversiones~2,975,948~0~6~172~https://www.youtube.com/watch?v=3D2d7_WxPpBP8
Nastya y divertido viaje familiar y otras historias de viajes~5,064,298~0~6~172~https://www.youtube.com/watch?v=3DgZtIa2SMAOk
Nastya y pap=C3=A1 fingen jugar a limpiar la casa. cuento para ni=C3=B1os~1,277,655~0~6~172~https://www.youtube.com/watch?v=3DAZWPOylZT-U
Nastya y pap=C3=A1 fingen jugar una historia de viaje para ni=C3=B1os~15,914,809~0~6~172~https://www.youtube.com/watch?v=3D7BCy56hmH5M
Nastya y compilaci=C3=B3n de nuevas historias para ni=C3=B1os.~25,981,214~0~7~203~https://www.youtube.com/watch?v=3DPjkTuZIv_lI
Desaf=C3=ADo de pasatiempos para ni=C3=B1os con Nastya y pap=C3=A1~973,981~0~7~203~https://www.youtube.com/watch?v=3Daf8MNGfk3pU
Nastya y pap=C3=A1 en espa=C3=B1ol - Los mejores retos para ni=C3=B1os~2,309,891~0~7~203~https://www.youtube.com/watch?v=3DNCQFdMQaAFs
Nastya y la historia sobre la lectura. Las mejores historias =C3=BAtiles para ni=C3=B1os.~13,109,028~0~7~203~https://www.youtube.com/watch?v=3DpFY9CIqOyPQ
Nastya y visit=C3=B3 un parque de diversiones en Abu Dhabi~3,029,072~0~7~203~https://www.youtube.com/watch?v=3DNikqXqNxqHM
Nastya aprende a limpiar la habitaci=C3=B3n y otras historias sobre el buen comportamiento de los ni=C3=B1os~4,764,785~0~7~203~https://www.youtube.com/watch?v=3DHStCVPXYOh0
Nastya y pap=C3=A1 estudian animales salvajes~2,689,236~0~7~203~https://www.youtube.com/watch?v=3D0Zrh3If5XXM
Nastya y pap=C3=A1 se van de viaje familiar. Colecci=C3=B3n de videos para ni=C3=B1os~4,395,710~0~7~203~https://www.youtube.com/watch?v=3Ds2TQW2IAPnI
Nastya se est=C3=A1 preparando para un hurac=C3=A1n. Reglas de seguridad para ni=C3=B1o~3,202,750~0~7~203~https://www.youtube.com/watch?v=3DIfQvMp0Iq2Q
Nastya y su amiga jugando con juguetes nuevos. Las mejores historias para ni=C3=B1os~2,990,117~0~7~203~https://www.youtube.com/watch?v=3Dy6gIr3a7wFw
Nastya y el d=C3=ADa del desaf=C3=ADo del trabajo en equipo en la escuela. Desaf=C3=ADo para los ni=C3=B1os~8,229,559~0~8~233~https://www.youtube.com/watch?v=3DDeRyNeM8R84
Nastya y mejores canciones infantiles. M=C3=BAsica para ni=C3=B1os de Nastya y pap=C3=A1.~5,245,648~0~8~233~https://www.youtube.com/watch?v=3DldFnj0JkAIw
Misi=C3=B3n de rescate de Nastya y experimentos de bricolaje | colecci=C3=B3n de videos para ni=C3=B1os~434,488~0~8~233~https://www.youtube.com/watch?v=3DXaaRBkDgcZ4
Nastya y pap=C3=A1 estudian arte juntos y otras historias para ni=C3=B1os.~4,757,680~0~8~233~https://www.youtube.com/watch?v=3D7EblUtcS_kk
Nastya alimenta a los animales en casa del abuelo | colecci=C3=B3n de videos para ni=C3=B1os~958,827~0~8~233~https://www.youtube.com/watch?v=3DrgcHhmN9ziU
Nastya Feliz cumplea=C3=B1os videos para ni=C3=B1os~12,629,203~0~8~233~https://www.youtube.com/watch?v=3D-JIEE2YyfvE
Nastya y la historia de la escuela sobre un chico rudo~3,399,889~0~8~233~https://www.youtube.com/watch?v=3DT86svtW5Tkc
Nastya y pap=C3=A1 juegan al aire libre - Recopilaci=C3=B3n de videos para ni=C3=B1os.~2,465,472~0~8~233~https://www.youtube.com/watch?v=3DVCBeiqK0UXA
Nastya y Stacy aprenden las reglas de seguridad en el autob=C3=BAs. Buen comportamiento para los ni=C3=B1os~32,930,316~0~8~233~https://www.youtube.com/watch?v=3D1Ai0Hz-DLns
Nastya y amigas se ayudan entre s=C3=AD para ganar en el desaf=C3=ADo.~1,134,793~0~8~233~https://www.youtube.com/watch?v=3DkuhIkhfmDwY
Nastya y Stacy esculpir de arcilla. Colecci=C3=B3n de nuevos cuentos para ni=C3=B1os.~3,108,552~0~9~264~https://www.youtube.com/watch?v=3DiVinhdv_Cu0
Nastya y su fiesta de cumplea=C3=B1os para 9 a=C3=B1os con amigos y familiares~1,805,371~0~9~264~https://www.youtube.com/watch?v=3DBEKmUUlJcZY
Stacy y pap=C3=A1 adivinan el desaf=C3=ADo de la comida -  Colecci=C3=B3n de nuevas historias para ni=C3=B1os~463,462~0~9~264~https://www.youtube.com/watch?v=3DeuatzxKi5oc
Nastya finge ser un superh=C3=A9roe y otras historias para ni=C3=B1os.~1,113,960~0~9~264~https://www.youtube.com/watch?v=3D7dShYGgZonc
Nastya y la historia de c=C3=B3mo ella y su amiga ayudan a la maestra~471,593~0~9~264~https://www.youtube.com/watch?v=3Di-SmSMxH4Pk
Nastya y pap=C3=A1 Colecci=C3=B3n de historias para ni=C3=B1os~2,086,469~0~9~264~https://www.youtube.com/watch?v=3Dap8EajMQkR8
Nastya y Maggie le cuentan a Naomi sobre las profesiones~1,154,491~0~9~264~https://www.youtube.com/watch?v=3DWrgW-ybsPl8
Nastya aprende letras con su pap=C3=A1 | Recopilaci=C3=B3n de videos para ni=C3=B1os~1,128,468~0~9~264~https://www.youtube.com/watch?v=3DQIH-eywJiW4
Nastya y una lecci=C3=B3n de ciencias en la escuela | Experimentos de bricolaje para ni=C3=B1os~1,027,363~0~9~264~https://www.youtube.com/watch?v=3DDfe_NwCxldo
Nastya y pap=C3=A1 se deshacen de la bruja malvada | Recopilaci=C3=B3n de videos de magia para ni=C3=B1os~1,757,325~0~10~292~https://www.youtube.com/watch?v=3DWaeGftUcoNU
Nastya est=C3=A1 aprendiendo por qu=C3=A9 los ni=C3=B1os necesitan ir a la escuela~871,026~0~10~292~https://www.youtube.com/watch?v=3D9BZ9ib-zHLE
Nastya y Stacy Concurso de maquillaje y juguetes de belleza - Mejor video recopilatorio~2,466,647~0~10~292~https://www.youtube.com/watch?v=3DCWfGW_lbdYQ
Nastya y su regreso a la escuela en tercer grado~723,802~0~10~292~https://www.youtube.com/watch?v=3DbxOTghi27UA
Nastya y una nueva casa de juegos misteriosa para ni=C3=B1os | Los mejores videos de compilaci=C3=B3n~1,234,902~0~10~292~https://www.youtube.com/watch?v=3D4Yw6wqT5Lws
Nastya y Evelyn graban un video para la escuela sobre mu=C3=B1ecas~684,097~0~10~292~https://www.youtube.com/watch?v=3DFxjGw5i_rjY
Nastya y pap=C3=A1 con un vestido de barbie para la fiesta | recopilacion de videos para ni=C3=B1os~2,062,424~0~10~292~https://www.youtube.com/watch?v=3DSdG9xfrMt0w
Nastya y pap=C3=A1 viajan a Italia | divertido viaje familiar~519,410~0~10~292~https://www.youtube.com/watch?v=3DVZgmr7-i300
Nastya y su amiga vestidas de princesa | recopilacion de videos para ni=C3=B1os~832,707~0~10~292~https://www.youtube.com/watch?v=3D0x6ERfaTukY
Nastya y pap=C3=A1 divertido viaje familiar a Londres~1,028,493~0~11~323~https://www.youtube.com/watch?v=3DqoYy1cI7cbg
Nastya cuida a su cachorro llamada Like~1,594,356~0~11~323~https://www.youtube.com/watch?v=3DGS_PPYydylQ
Nastya finge jugar con la l=C3=A1mpara m=C3=A1gica =E2=80=93 Recopilaci=C3=B3n de videos para ni=C3=B1os~1,074,168~0~11~323~https://www.youtube.com/watch?v=3Dn93mCBQefH0
Nastya y pap=C3=A1 se entretienen con juegos familiares~346,845~0~11~323~https://www.youtube.com/watch?v=3DXIBCjqMy4dA
Nastya y pap=C3=A1 compilaci=C3=B3n de alimentos saludables y no saludables~1,378,205~0~11~323~https://www.youtube.com/watch?v=3DyF5NwNM8ZdM
Nastya y Pap=C3=A1 desaf=C3=ADo de comida saludable~1,806,070~0~11~323~https://www.youtube.com/watch?v=3DxDBWY0jDwwA
Nastya y las historias de la casa de juegos para ni=C3=B1os | Video recopilatorio de mu=C3=B1ecas~835,797~0~11~323~https://www.youtube.com/watch?v=3Da6B6z4LrIuE
Nastya comparte sus secretos para ser una bloguera exitosa~1,130,657~0~11~323~https://www.youtube.com/watch?v=3DQJ9ZZzFZ814
Nastya hace buenas acciones como una superh=C3=A9roe~1,300,871~0~11~323~https://www.youtube.com/watch?v=3DmiV-CFCLFKc
Nastya y pap=C3=A1 se divierten en la playa | Recopilaci=C3=B3n de videos para ni=C3=B1os~3,393,693~0~12~354~https://www.youtube.com/watch?v=3DZ-BYEnxOFm0
Nastya y reglas de seguridad de verano para ni=C3=B1os~986,388~0~12~354~https://www.youtube.com/watch?v=3DYuf6hl30sb0
Nastya y pap=C3=A1 aprenden a cocinar pasta y helado en Italia~1,196,738~0~12~354~https://www.youtube.com/watch?v=3D9BnbKjY3C8E
Nastya y pap=C3=A1 se quedan en casa desaf=C3=ADos | recopilacion de videos para ni=C3=B1os~2,145,098~0~12~354~https://www.youtube.com/watch?v=3DYas0qdEteIQ
Nastya muestra 5 hermosas vistas durante un viaje familiar a Suiza~1,132,338~0~12~354~https://www.youtube.com/watch?v=3DinWJRU3BgNE
Nastya aprende a decir la palabra m=C3=A1gica Por favor y recibe un regalo~2,264,836~0~12~354~https://www.youtube.com/watch?v=3Dn3pfNblIMnI
Nastya y pap=C3=A1 Tiempo de diversi=C3=B3n familiar en el parque Land of Legends en Turqu=C3=ADa~1,128,624~0~12~354~https://www.youtube.com/watch?v=3DZO2PwE86-tQ
Nastya y pap=C3=A1 actividades al aire libre en Turqu=C3=ADa para ni=C3=B1os~9,491,882~0~12~354~https://www.youtube.com/watch?v=3D8EHhKlYu1Oo
Nastya juega con juguetes de maquillaje para ni=C3=B1as - Compilaci=C3=B3n de videos para ni=C3=B1os~2,221,736~0~12~354~https://www.youtube.com/watch?v=3Dp7YNyBptHWA
Nastya y una amiga organizaron un concurso y otras historias divertidas con amigos~37,869,982~0~13~384~https://www.youtube.com/watch?v=3D2wyowpVFgek
Nastya aprende a contar del 1 al 10 y gana regalos | colecci=C3=B3n de videos para ni=C3=B1os~3,585,370~0~13~384~https://www.youtube.com/watch?v=3Djs4ApVGrfXQ
Nastya y pap=C3=A1 espect=C3=A1culo de magia | Recopilaci=C3=B3n de videos de Magic para ni=C3=B1os~11,497,081~0~13~384~https://www.youtube.com/watch?v=3DHFYFoSxHrK4
Nastya muestra las reglas de seguridad en la piscina~1,034,400~0~13~384~https://www.youtube.com/watch?v=3DG7SZEpklYD8
Nastya aprende lo importante que es que los ni=C3=B1os usen aparatos ortop=C3=A9dicos~2,761,264~0~13~384~https://www.youtube.com/watch?v=3DIXbWqPHI3DU
Nastya y pap=C3=A1 misterioso desaf=C3=ADo | recopilacion de videos para ni=C3=B1os~559,883~0~13~384~https://www.youtube.com/watch?v=3Dx0_w3eJjD2I
Nastya y el c=C3=B3digo de conducta de su amiga | colecci=C3=B3n de videos para ni=C3=B1os~1,122,735~0~13~384~https://www.youtube.com/watch?v=3DOEOuKjFEiIo
Nastya y pap=C3=A1 aprendiendo e historias de bricolaje | colecci=C3=B3n de videos para ni=C3=B1os~1,083,344~0~13~384~https://www.youtube.com/watch?v=3D4lZuHah8Xqo
Nastya y pap=C3=A1 historias de una noche de miedo | recopilacion de videos para ni=C3=B1os~6,287,432~0~13~384~https://www.youtube.com/watch?v=3D201kIGvZRKA
Nastya aprende el alfabeto, las formas y los n=C3=BAmeros con la ayuda de animaciones~1,068,922~0~13~384~https://www.youtube.com/watch?v=3Daz-wJo51f2o
Nastya muestra el da=C3=B1o del az=C3=BAcar a la salud~787,421~0~13~384~https://www.youtube.com/watch?v=3DcgXjkr9iAsc
Nastya y Stacy intercambio sus mascotas | recopilacion de videos para ni=C3=B1os~3,386,397~0~13~384~https://www.youtube.com/watch?v=3DbjDso55fo9Y
Nastya aprende sobre el clima | serie de videos para ni=C3=B1os~754,405~0~13~384~https://www.youtube.com/watch?v=3DSUiXy9DRWQI
Nastya est=C3=A1 aprendiendo c=C3=B3mo obtener nueva informaci=C3=B3n durante las vacaciones de verano~671,397~1~14~415~https://www.youtube.com/watch?v=3DPuoj9krcKeI
Nastya actividades de interior y al aire libre | recopilacion de videos para ni=C3=B1os~1,434,033~1~14~415~https://www.youtube.com/watch?v=3DwqSrS3Fgrpo
Nastya y pap=C3=A1 viajan a Alsacia y al museo del pan de jengibre~856,283~1~14~415~https://www.youtube.com/watch?v=3DWiWHtS3gmog
Nastya demuestra que lavarse las manos no es nada aburrido~1,116,335~1~14~415~https://www.youtube.com/watch?v=3Dg6mlek9xc2Y
Nastya vio bruja da=C3=B1ina en un sue=C3=B1o extra=C3=B1o | recopilacion de videos para ni=C3=B1os~866,824~1~14~415~https://www.youtube.com/watch?v=3DXWA0M9MDblo
Nastya y las reglas de conducta en el Hotel~804,026~1~14~415~https://www.youtube.com/watch?v=3DDJEA0xgX5o0
Nastya aprende a ganar dinero honestamente~1,151,437~1~14~415~https://www.youtube.com/watch?v=3DoCh6qhiIQ5g
Nastya nuevos juguetes y joyas de maquillaje | recopilacion de videos para ni=C3=B1os~2,001,157~1~14~415~https://www.youtube.com/watch?v=3DrWx9oJiLAV4
Nastya aprende lo importante que es leer libros | v=C3=ADdeo educativo para ni=C3=B1os~2,564,264~1~14~415~https://www.youtube.com/watch?v=3DUgnGmLJhpg4
Nastya cuida a sus gatitos y celebra su 7=C2=BA cumplea=C3=B1os~828,881~1~14~415~https://www.youtube.com/watch?v=3DjitcPIWOHss
Nastya y pap=C3=A1 juegan con juguetes de chocolate | recopilacion de videos para ni=C3=B1os~4,929,363~1~14~415~https://www.youtube.com/watch?v=3D3b4qX6SoZno
Nastya aprende las reglas de seguridad de su padre~8,797,048~1~14~415~https://www.youtube.com/watch?v=3DvONKG2s-DZE
Nastya y la historia sobre el acoso escolar~54,483,149~1~14~415~https://www.youtube.com/watch?v=3DHPEVppbcvRY
Nastya alimenta alpacas y otros animales de granja | recopilacion de videos para ni=C3=B1os~1,375,378~1~14~415~https://www.youtube.com/watch?v=3DEUdVYJf2_pA
Nastya aprende las reglas de la princesa y encuentra sorpresas | colecci=C3=B3n de videos para ni=C3=B1os~1,437,835~1~14~415~https://www.youtube.com/watch?v=3D_tYu2Ji-Hq4
Nastya y Evelyn muestran c=C3=B3mo ahorrar recursos naturales~1,363,899~1~14~415~https://www.youtube.com/watch?v=3DGNzFTtpIdL0
Nastya y pap=C3=A1 Concurso de dibujo | Colecci=C3=B3n de v=C3=ADdeos para ni=C3=B1os~579,453~1~14~415~https://www.youtube.com/watch?v=3D8Ah2HU_k9tE
Nastya finge ser una ni=C3=B1era | Recopilaci=C3=B3n de v=C3=ADdeos para ni=C3=B1os~4,408,882~1~14~415~https://www.youtube.com/watch?v=3DO1cOUSK3pn0
Nastya decora su nueva habitaci=C3=B3n con sus colores favoritos | recopilacion de videos para ni=C3=B1os~2,824,810~1~14~415~https://www.youtube.com/watch?v=3D4K9Azvogy8c
Nastya juega un desaf=C3=ADo de batidos y tiene viruela adhesiva | colecci=C3=B3n de v=C3=ADdeos~930,783~1~14~415~https://www.youtube.com/watch?v=3DEJvuBWUAWuE
Nastya aprende patinaje art=C3=ADstico y practica otros deportes | colecci=C3=B3n de videos para ni=C3=B1os~754,122~1~14~415~https://www.youtube.com/watch?v=3DqnC-6ymi4iY
Nastya y sus amigos historias divertidas para ni=C3=B1os | recopilacion de videos para ni=C3=B1os~2,215,173~1~14~415~https://www.youtube.com/watch?v=3DZnZQdSnLwqQ
Nastya y pap=C3=A1 fingen jugar un juego de hotel | colecci=C3=B3n de videos para ni=C3=B1os~986,827~1~14~415~https://www.youtube.com/watch?v=3DKb7ridoFEC0
Nastya, Maggie y Naomi - Video de bricolaje para ni=C3=B1os~11,224,777~1~14~415~https://www.youtube.com/watch?v=3D6efWwXETgmI
Nastya aprende sobre los planetas y visita una tienda | colecci=C3=B3n de videos para ni=C3=B1os~947,081~1~14~415~https://www.youtube.com/watch?v=3DJ_VyA5osLjA
Nastya y sus amigos est=C3=A1n jugando al desaf=C3=ADo Pop-It | colecci=C3=B3n de videos para ni=C3=B1os~1,100,943~1~14~415~https://www.youtube.com/watch?v=3DGUXJn_Z7QUY
Nastya y Eva organizaron un d=C3=ADa S=C3=8D familiar~3,618,116~1~14~415~https://www.youtube.com/watch?v=3DIDX9HjS5gA4
Nastya y pap=C3=A1 se preparan para Navidad | colecci=C3=B3n de videos para ni=C3=B1os~984,191~1~14~415~https://www.youtube.com/watch?v=3DtalemApaZds
Nastya y Evelyn aprenden a superar sus miedos~8,456,787~1~14~415~https://www.youtube.com/watch?v=3DHL6MKKskMBI
Nastya y pap=C3=A1 Recorrido de compras! Colecci=C3=B3n de v=C3=ADdeos para ni=C3=B1os~1,244,167~1~14~415~https://www.youtube.com/watch?v=3DJjgoFQKm8HE
Nastya y Evelyn est=C3=A1n aprendiendo a limpiar su habitaci=C3=B3n | Desaf=C3=ADo de limpieza para ni=C3=B1os~1,035,202~1~14~415~https://www.youtube.com/watch?v=3DoAKNnOJzrsA
Nastya finge jugar una fiesta de t=C3=A9 con sus gatitos | colecci=C3=B3n de videos para ni=C3=B1os~1,009,213~1~14~415~https://www.youtube.com/watch?v=3DhG2afYUAbjU
Nastya y sus amigos est=C3=A1n jugando un desaf=C3=ADo misterioso | colecci=C3=B3n de videos para ni=C3=B1os~1,507,014~1~14~415~https://www.youtube.com/watch?v=3DC0BRvV3Xuc8
Nastya y pap=C3=A1 visitan una isla de cerdos y juegan en el hotel | serie de videos infantiles~835,019~1~14~415~https://www.youtube.com/watch?v=3DkccOM5--i_w
Nastya y Alla aprenden qu=C3=A9 son los celos~5,497,776~1~14~415~https://www.youtube.com/watch?v=3Du7SWrcnz4sA
Nastya y pap=C3=A1 Fingir jugar al juego del hotel y visitar una isla piggy~696,915~1~14~415~https://www.youtube.com/watch?v=3DJpSESDRDPpU
Nastya celebra su 7=C2=BA cumplea=C3=B1os con juguetes de belleza | colecci=C3=B3n de videos para ni=C3=B1os~907,497~1~14~415~https://www.youtube.com/watch?v=3D4ZB-L1DQb-8
Nastya alimenta alpacas y otros animales de granja | colecci=C3=B3n de videos para ni=C3=B1os~956,441~1~14~415~https://www.youtube.com/watch?v=3DD5f-icQkwDY
Nastya y un emocionante viaje a Las Vegas con amigas~577,637~1~14~415~https://www.youtube.com/watch?v=3DUDxRTK43hig
Nastya Celebre el D=C3=ADa de Acci=C3=B3n de Gracias y qu=C3=A9dese solo en casa | colecci=C3=B3n de videos para ni=C3=B1os~875,836~1~14~415~https://www.youtube.com/watch?v=3DddkOwGEaIg8
Nastya celebra Diwali y aprende a decir la hora | colecci=C3=B3n de videos para ni=C3=B1os~639,593~1~14~415~https://www.youtube.com/watch?v=3DBMxnUO1hbak
Nastya y amistad en la escuela | colecci=C3=B3n de videos para ni=C3=B1os~1,008,399~1~14~415~https://www.youtube.com/watch?v=3DLxVFtUxWZvs
